0.00s:  What's up outliers?
2551.28s:  Well, I ran out of legs, but I have four legs in this one.
2556.68s:  This doesn't cover anything.
2559.44s:  I just have four naked short puts at different strikes.
2563.68s:  So I have multiple legs.
2566.40s:  So yeah, I just wouldn't look at it as the legs.
2568.52s:  I would look at it like we were talking about in the example earlier in the video, the
2572.52s:  context of the position.
2574.64s:  That's what determines if something is covered or not.
2578.88s:  All right.
2587.44s:  Next question.
2590.44s:  Joey says, is sector rotation periodic and considered it inefficiency?
2597.04s:  Yeah, I wouldn't consider it inefficiency because there's beta risk with it.
2601.04s:  Sector rotation strategies don't always win, right?
2604.76s:  So the way to capitalize that would be more of a momentum style thing as compared to
2609.44s:  sector rotations, I think.
2612.80s:  So the next question is, how is implied volatility calculated?
2619.12s:  G36 says black shoals style or voodoo magic.
2623.68s:  I think both of those are applicable.
2627.28s:  Any other guesses?
2631.64s:  Joey says implied volatility is the last unknown from BSM.
2646.12s:  So it's implied from actual price.
2652.48s:  Sort of Vladimir says by algos indirectly.
2664.08s:  Jonathan says is it the probability of movement?
2666.08s:  It's not.
2670.28s:  Policies says it's the volatility we need for a given option price under BSM.
2674.80s:  That's the closest.
2679.76s:  So Joey, the reason why your answer was discounted is because the first part.
2686.20s:  The second part of your answer is completely fine.
2690.68s:  So where we have an implied move from the current or the implied volatility from the current
2699.24s:  price.
2700.48s:  Now it's the reason why I say it's not really the last unknown from BSM.
2705.48s:  It's kind of what we solve for.
2707.36s:  I get your point there.
2708.56s:  I'm just clarifying a small component to it.
2711.52s:  So when we're calculating implied volatility, literally all we're doing is taking the current
2719.00s:  markets pricing of options.
2723.72s:  And we're breaking down the price into its different components.
2728.20s:  And we can use something like the Black Sholes Merton model to isolate the different variables
2733.48s:  because it's a differential equation.
2735.16s:  We can grab the pieces that we need.
2737.80s:  So when we're talking about implied volatility, we're just using option prices from the market.
2745.00s:  That's all.
2746.00s:  And we're backing out.
2747.08s:  You can use Black Sholes Merton completely fine.
2749.16s:  You can find it in other ways as well.
2750.76s:  But I think Black Sholes Merton is probably the most well known.
2754.36s:  So then the next question here is what is forecast volatility?
2765.20s:  And in the meantime, I have a video that goes all into volatility.
2775.00s:  So I just dropped that in there for you.
2784.36s:  Forward looking volatility.
2790.68s:  So as implied, those are both.
2798.04s:  Those are both implied or forward looking.
2800.60s:  So I wouldn't say that personally.
2805.48s:  Any other guesses?
2812.40s:  Analyzed, autoregressive, heteroscedastic conditional.
2817.40s:  Nope, it's not a garsh model.
2820.00s:  G36 says expected move based on historic volatility could be.
2824.92s:  Apollo is the closest prediction.
2827.60s:  So that's the difference.
2829.56s:  So when we're looking at volatility, there are different kinds.
2837.28s:  And one of the kinds of volatility that's really important for us to understand is forecast.
2842.56s:  Now how we get to the forecast, we can use things like garsh models.
2847.88s:  We can use EJ garsh.
2850.16s:  We can use jump diffusion models.
2852.28s:  We can use anything.
2853.52s:  We can flip a coin and forecast volatility.
2857.32s:  The cliff notes though, is that forecasting volatility is literally the act of determining
2864.44s:  for yourself what implied volatility should be for an option.
2870.88s:  Retail traders normally don't do this.
2873.00s:  I do this more out of a scholastic sense.
2877.04s:  You can essentially take the markets pricing as volatility as it's probably much better
2881.80s:  than yours.
2883.60s:  But there's a difference.
2885.32s:  When we're looking at implied volatility, we're just looking at prices and we're pulling
2888.40s:  down what the market is implying.
2891.56s:  forecast volatility is literally when we make our own estimate of what volatility should
2897.64s:  be based on some sort of set model and circumstances.
2903.92s:  So that's the primary difference here.
2908.76s:  Does that make sense?
2909.76s:  The difference between like implied volatility and forecast volatility?
2915.60s:  Does they mean different things?
2929.40s:  What's the next question we do?
2936.28s:  Joey says you can compare the current expiration to the vol smile.
2941.56s:  Well, that's actually kind of a great preamble.
2945.64s:  So we'll see if that's correct, Joey.
2949.60s:  The next question for you is describe the volatility term structure, smile and surface.
2971.56s:  And in the meantime, we can talk about why volatility is important.
2976.44s:  So when we think about the importance of volatility, it's that it is the only unknown component
2987.24s:  that we piece together for an options price.
2993.56s:  Everything else that feeds into an options price is known.
2997.60s:  We know the underlying price.
2999.08s:  We know the strike price.
3000.24s:  We know if it's a caller input.
3001.96s:  We know what the risk free rate is.
3003.44s:  We know if there's a dividend.
3006.04s:  We know the days to expiration.
3007.84s:  I don't know if I said that one already or not, but all of the inputs that go into an
3013.24s:  option price, we know all of them except for one, which is volatility.
3019.36s:  So most retail traders will use the implied volatility based on the market consensus.
3024.96s:  We can forecast our own, but then we have different views that we can take on volatility,
3032.44s:  which is exactly the question I have here.
3035.00s:  So the difference between a volatility term structure, smile and surface, they look at
3041.40s:  slightly different things.
3044.08s:  So Paul says surface, Joey looks like it has the most comprehensive of C. So volatility
3050.56s:  term structure is IV for an expiration.
3055.48s:  Smile would be IV for all in a certain expiration.
3060.00s:  Surface would be extra dimension.
3062.32s:  Okay, close.
3064.00s:  TradeJ says term is across expiration.
3068.44s:  Smile is volacross strikes.
3071.88s:  Surface is combo close.
3074.32s:  I like where we're at with these.
3079.56s:  Many other guesses.
3085.60s:  So if we take a look at vol and we take a look at this, nope.
3094.96s:  That's fine.
3096.20s:  Trying to find one that looks somewhat normal.
3099.12s:  All these are kind of janky.
3100.80s:  That's kind of normal.
3101.80s:  That was the most normal one I found.
3104.24s:  This one.
3105.24s:  Okay.
3107.24s:  So what am I looking at here?
3110.08s:  Am I looking at smile?
3115.00s:  Am I looking at term structure?
3116.52s:  Am I looking at surface?
3119.28s:  What am I seeing here?
3123.60s:  TradeJ might have the answer.
3136.24s:  I think Joey, I think your answer looks correct as well.
3145.44s:  Rees welcome in.
3149.80s:  So what is this?
3152.20s:  Joey says smile.
3153.76s:  TradeJ says smile.
3155.04s:  G36 says smile is correct.
3158.72s:  So when we're talking about a volatility smile, we're going to isolate within an expiration.
3165.80s:  And we're going to look at the volatility across strikes.
3169.92s:  That's all.
3171.52s:  Now if I take a look at, I'm going to try to find something that looks somewhat normal
3178.88s:  here.
3179.96s:  If I take a look at these two points, what is this?
3189.76s:  So we already know what smile is.
3192.92s:  We have two left.
3193.92s:  We have a surface in term structure.
3202.92s:  Term structure.
3203.92s:  Correct.
3204.92s:  An easy way to think about term structure is if we look at a futures contract.
3210.44s:  This is probably one of the simplest ways.
3217.00s:  This is term structure.
3222.48s:  So this is using spot futures prices.
3225.08s:  But you can do this with volatility.
3228.08s:  So this is showing you actually a kink in the term structure.
3231.84s:  This is tradable for the e-many futures.
3236.76s:  But the same exact thing applies when we look at options.
3241.32s:  So now going back to our example in TLT, in this specific scenario, I think it was this
3249.40s:  one that was sort of normal and that one, that's fine.
3252.44s:  So in this scenario, let's do out of the monies.
3256.72s:  Looking at just these two is looking at term structure.
3261.40s:  So we're just looking at volatility at a set point across different time frames.
3267.28s:  So this here, if you plotted the implied volatilities for all of these, this is term structure.
3274.68s:  You can literally visualize this.
3276.92s:  So if you have a y-axis and an x-axis, and on the y-axis, we put a dot here to represent
3283.92s:  18.
3284.92s:  So there's your first dot.
3286.20s:  Then we have another dot down here at 9.
3288.56s:  Then we have another dot up over here at 16.
3291.52s:  Then it goes up to 19.
3293.52s:  I'm drawing you, if you can follow along with the cursor, that is a term structure.
3300.24s:  And then to Joey's point, we can visualize a surface.
3305.68s:  Surface doesn't have to be 3D.
3307.24s:  This is 2D, but this is still a surface.
3309.68s:  I can visualize a volatility surface literally just by using these lines.
3314.56s:  I can look across strike prices.
3317.72s:  I can look across expressions.
3320.92s:  That's what volatility surfaces.
3323.20s:  Now the purpose of turning it into a 3D model is because it's a little easier to consume
3327.44s:  if you're not used to looking at things.
3329.12s:  It's a little higher fidelity.
3330.40s:  It's easier to find things that really stick out.
3333.60s:  But for example, there's a lot of interesting anomalies even in with this, with respect
3338.80s:  to a volatility surface.
3344.72s:  So if we get rid of some of these, let's do this one, do this one, get rid of that one.
3356.36s:  Let's do that one.
3358.56s:  So in example, these two inverting here is strange.
3363.88s:  You normally don't see that.
3364.88s:  There's normally a reason why that happens.
3367.88s:  And it can be for a bunch of different reasons, but stuff like that is tradable.
3372.76s:  So even though this isn't a surface, you can still very easily spot anomalies.
3379.32s:  Once you kind of have a sense of what you're looking for.
3383.00s:  Joey says, how do you feel about this being a line versus plot since we only have discrete
3387.96s:  values at strikes?
3390.20s:  How do I feel about it in terms of what?
3394.68s:  The line itself helps you identify overall shape, even a volatility surface is still connected.
3403.00s:  So it's still going to show you some of these.
3408.68s:  Part of the issue that you will find because these are lines is it can be a little confusing,
3415.00s:  like when you see kinks like these, but again, like the kinks are going to be relative to
3420.44s:  anchor points.
3421.48s:  Right?
3422.24s:  So I can tell you that this is the 81 strike relative to the 80 to the 82.
3427.08s:  Right?
3428.08s:  It's pretty visual in that way.
3431.20s:  So yeah, for me, I don't think there's anything at all wrong with it being a line.
3437.32s:  I actually think it makes it kind of easy to see things.
3439.88s:  Because if you look at a volatility surface, it's actually kind of difficult sometimes
3443.96s:  because it can be very, very noisy.
3448.04s:  Joey says, I see there are strikes between those.
3450.04s:  Yeah, absolutely.
3450.84s:  That's what causes the kinks.
3452.68s:  So in this case, I can tell you that the 81s are priced more expensively than the 80s and the 82s.
3459.96s:  Whether it should or shouldn't be, that's another scenario.
3462.36s:  But I can tell you that it's not following the shape of the price that you see for everything else.
3468.12s:  So it draws my eye.
3471.56s:  All right.
3474.68s:  This one should be fun.
3479.64s:  What function do market makers perform in the stock market?
3487.00s:  I think they're very misunderstood.
3488.84s:  And I'm not like a defender of them to be clear.
3492.04s:  But I think they're very, very misunderstood.
3494.84s:  So that's why I'm asking this.
3497.00s:  Facilitating trades is good.
3498.76s:  Setting the price sort of, not quite.
3501.48s:  And we'll explain why it's not quite.
3503.56s:  But it's not wrong.
3508.52s:  Elon Song says provide liquidity in pricing.
3511.88s:  Ricky says the, the function of robbing him blind.
3514.44s:  Okay, I'll take that.
3516.36s:  Paul says liquidity.
3517.72s:  Reese says liquidity.
3520.28s:  Off-poon says liquidity.
3522.20s:  These are correct.
3523.72s:  The primary function.
3526.92s:  The primary function is to provide liquidity.
3529.24s:  It's actually not to provide prices.
3531.56s:  They inherently provide prices because if they price poorly, they'll get destroyed.
3537.32s:  But if I'm saying their primary job is providing liquidity and not necessarily providing
3544.04s:  prices, how does that work?
3545.32s:  Why would that be the case?
3546.76s:  Why would I differentiate between their job of providing liquidity versus providing prices?
3553.24s:  What provides prices in the stock market?
3561.72s:  Bires and sellers.
3565.08s:  G36 is on it.
3568.12s:  Not just buyers.
3571.08s:  Elon Song says buyers.
3572.28s:  It's not just buyers.
3573.32s:  Joey says actual orders closer.
3576.52s:  Speedrunner says investor psychology provides prices.
3579.00s:  It does not.
3582.36s:  Bires and sellers.
3584.52s:  That's all it is.
3586.68s:  Pricing in our exactly.
3589.48s:  So, Paul Owen Swayte are talking about the function of buyers and sellers.
3595.56s:  Supply and demand.
3597.08s:  It's a consensus driven stock market.
3601.16s:  So, that's how pricing is done.
3602.68s:  So, say for example, let's use this.
3607.48s:  And let's say right now on these puts,
3611.32s:  their bid 136 offered at 140.
3614.76s:  Let's just say for whatever reason,
3618.36s:  let's just say that the market maker is currently pricing these at 145 and 130.
3625.80s:  Are they setting the price in this example?
3628.60s:  If they had these at 130 and these at 145, would they be setting the price here?
3636.28s:  With the idea that these prices are still here, by the way.
3645.16s:  Any guesses?
3648.52s:  They would not be setting the price.
3653.40s:  They would be outside the market.
3656.36s:  So, whoever is currently resting a bid here at 136,
3661.88s:  whether that's a market maker or another retail trader, or whoever's on this side doing the same thing at 140.
3669.48s:  If they had this gem in the market,
3670.84s:  when they changed it, they would have set it for they were getting settled and they decided
3677.16s:  when the future bear their faults.
3678.60s:  Do you agree that if you have a prime margin,
3686.04s:  they are currently really coming from the shop,
3687.88s:  and if they are having fiscal f served run,
3690.84s:  and the your...
3692.38s:  If they are, they are thinking.
3695.78s:  Clare has encountered a su Coin 1 and whether they are going to want the turner.
3699.18s:  order for a market maker to provide liquidity,
3702.86s:  they have to set good prices.
3704.70s:  Otherwise, they're not providing liquidity.
3707.70s:  But the way that they're forced to set good prices
3712.46s:  is by the market forcing their hand.
3715.10s:  Because if I'm in competition with another market maker,
3719.26s:  so if there's another market maker over there,
3722.18s:  and I'm over here, right, two different market makers.
3725.66s:  And I'm trying to make this market
3727.18s:  on these 100 puts in TLT expiring 35 days expiration.
3731.94s:  If I am setting my prices at 36 and 40,
3736.78s:  and the other market maker is at 30, 45,
3742.46s:  they're not collecting any bit ask spread.
3744.26s:  They're not getting any volume, which is one,
3747.58s:  how they maintain their status,
3749.34s:  two, how they maintain preferred status,
3751.46s:  three, how they make a living.
3754.06s:  So there's a natural competition
3756.82s:  among different market making entities
3759.54s:  to price things competitively.
3761.74s:  And again, that's by supply and demand.
3763.38s:  It's not because the goodness of my heart is a market maker.
3766.50s:  I want to make sure these are as fair for everybody.
3768.86s:  If I was the only market maker in town,
3772.18s:  I would set them as wide as I possibly could.
3775.54s:  Why wouldn't I?
3776.74s:  Right, so a great example for this
3778.66s:  is when you're walking through the airport,
3780.22s:  going to another country,
3782.06s:  and you want to exchange money, they're a market maker.
3785.98s:  They're moving two different currencies.
3788.94s:  They decide what they're going to buy the currency at
3791.14s:  and sell the other currency at,
3792.42s:  and they're going to capture the spread.
3794.26s:  But guess what?
3795.26s:  When you're walking through the airport,
3797.26s:  how many alternatives are in there?
3799.30s:  About fucking zero.
3801.06s:  So that's why the transaction rates
3803.74s:  and the conversion rates at places like that
3805.62s:  are straight up abysmal,
3808.02s:  excuse me no competition.
3809.54s:  Now what happens when you walk out of the airport
3812.34s:  and there's three banks on the corner?
3815.18s:  All of a sudden,
3816.70s:  all of a sudden things are way more competitive.
3818.94s:  Those spreads come way down because they need the volume.
3822.34s:  That's how they make their money.
3823.46s:  It's the same exact thing in the markets.
3825.46s:  So the forcing function for market makers
3827.50s:  to price things competitively are other participants
3831.18s:  that will out price them and take the volume
3833.54s:  if they don't do that.
3835.54s:  But their job is to provide liquidity.
3837.58s:  That's how they make a living.
3838.74s:  They're literally scavengers.
3840.78s:  They're not, it's really not like
3842.54s:  this really sexy thing that they get to do.
3844.54s:  It's they can make good money,
3847.66s:  but it is not super fun
3849.90s:  because they are completely relegated to order flow.
3855.18s:  So market makers provide liquidity.
3857.98s:  They are forced, if they're doing a job well,
3860.78s:  to set decent prices.
3862.54s:  But there's no imperative otherwise
3865.26s:  other than the natural supply and demand functions
3868.50s:  of the market.
3869.74s:  That's why when you look at less liquid stocks
3872.66s:  that aren't traded as much,
3874.10s:  the bid S spreads are super wide
3876.18s:  because nobody's in there.
3877.78s:  As competition and as liquidity is floods in,
3881.74s:  it forces more competitive pricing.
3885.78s:  Age says so if the market makers provide extra liquidity
3888.74s:  at a given price point,
3889.70s:  doesn't that affect the ability for people
3891.34s:  to transact beyond the bid S spread
3893.10s:  until the market maker runs out
3894.62s:  and determines the stopgiven liquidity exactly correct?
3896.86s:  That's 100% correct.
3898.66s:  And there are there are reasons why they do that.
3902.22s:  So for example,
3904.66s:  if you take a look at this 104 put,
3907.90s:  if we take a look at the current offered size,
3913.30s:  maybe,
3915.98s:  well, it looks like one by 39 or 390 something,
3919.34s:  I can't tell.
3921.26s:  I wish it would just pop up normally it does.
3923.78s:  Maybe this one, there we go.
3925.46s:  We just got to unclick it.
3927.50s:  Okay, it just doesn't like the 103's.
3929.18s:  I guess we'll do these.
3930.62s:  So or the 104's, take a look at the 103's.
3933.46s:  I have them highlighted right now.
3935.34s:  So you'll see right now,
3936.46s:  they're bid at 71 offered at 74.
3939.58s:  They're bid 71 size 138.
3942.74s:  They're offered 74 size 35.
3946.06s:  They're not size one to one.
3948.30s:  And that's exactly what H is talking about.
3950.78s:  The market maker can try to control their directional risk
3956.42s:  by offering things at different sizes.
3959.90s:  Right?
3960.74s:  So they're saying,
3961.58s:  I'm happy in this case to come in at 71.
3965.54s:  If you want to sell to me there.
3967.62s:  However, I'll take 138 of those.
3970.70s:  But for me selling,
3973.70s:  I only want to let 35 go at that 74.
3976.98s:  And that can be because of what the rest of their book looks like.
3979.38s:  It could be for a million different reasons,
3981.66s:  but that's exactly what that is.
3982.98s:  They get to set not just whatever price they
3985.62s:  think is spare based on volatility,
3988.06s:  but they also get to set what size they can sustain.
3991.90s:  And it's because again,
3994.06s:  market makers are relegated to order flow.
3997.22s:  So one of the things to think about is market makers.
4002.18s:  Their ideal scenario is to be able to buy from somebody
4006.98s:  and sell to somebody essentially at the same time, right?
4010.94s:  That would be absolutely great.
4013.86s:  If I could buy at 71 sell at 74,
4016.14s:  I would do that all day.
4017.74s:  But the problem is is market moves, markets move.
4021.10s:  So if I buy at 71 and then all of a sudden things
4024.66s:  start to plummet for whatever reason,
4026.86s:  well, I just bought at 71,
4028.02s:  but now they're worth 65.
4030.26s:  I don't want to unwind there
4031.78s:  because now I've just locked in a loss on that position.
4034.78s:  So they have to manage their inventory very carefully.
4037.82s:  That's really the most difficult part
4040.18s:  of being a market maker is an effective methodology
4043.54s:  for managing inventory.
4046.34s:  Joey says, I wonder if there's some inefficiency
4048.06s:  between spread and liquidity,
4049.58s:  such as typical spread amount usually equates
4052.26s:  to certain liquidity, maybe if they decrease the spread
4054.54s:  for the same volume.
4058.02s:  Inefficiency between spread and liquidity.
4063.86s:  I don't follow.
4065.94s:  I think you'd have to explain the thought a little bit more.
4069.10s:  Such as typical spread amount usually equates
4071.50s:  to certain liquidity.
4072.34s:  Do you mean in terms of the size they offer?
4074.86s:  It's not based on the spread amount typically.
4077.66s:  Again, that's going to be a much larger function
4080.02s:  of what their book looks like at a given point in time.
4083.10s:  And it also matters if there's other people inside the market.
4085.54s:  Again, like this is a great example.
4086.98s:  It's not just market makers that make markets.
4089.54s:  If there's probably a retail trader
4093.82s:  that is resting a 36 bid and they just want one
4098.58s:  of these 105s.
4100.66s:  That could be a retail trader that's inside the market maker.
4104.30s:  So in this case, you'll notice that these are three
4107.08s:  cents wide, these are only two cents wide.
4109.62s:  So if this is a market maker on the other side of this,
4112.90s:  the market maker could be bidding or offering at 52.
4117.38s:  And they might prefer to be at 48 or 49 down here.
4122.98s:  But there could be another market participant
4125.42s:  that's like, no, I'm good for 50 here.
4128.46s:  So that's, again, that's making markets
4132.46s:  and providing liquidity is not relegated to market makers.
4136.34s:  If you operate inside their bid ask spread
4139.18s:  and rest in order, you're providing liquidity.
4142.90s:  So there's two sides of an options trade
4146.02s:  and there's liquidity consumption and liquidity provision.
4151.10s:  As a retail trader, we typically consume liquidity.
4154.98s:  That's when we come in and we want to sell
4157.30s:  one of these puts, we decide to, we're okay taking it
4160.54s:  at the bid and we lift the bid.
4163.74s:  In that case, you just took somebody's trade, right?
4167.42s:  That was offering their trade.
4168.38s:  You took it and removed that from the book
4170.74s:  that now somebody else can't get at.
4172.82s:  So you consume liquidity.
4175.06s:  But if I'm a trader that's currently resting in offer
4179.74s:  for these 95 puts for 21 cents and I have my order
4183.58s:  out there resting for somebody else to come take,
4187.58s:  I'm providing liquidity.
4190.50s:  It's a difference.
4196.18s:  Lot of me says I was filled on five contracts today
4198.86s:  below the bid, the last price changed,
4202.10s:  but not the bid ask.
4203.30s:  Yeah, that can happen in an instant.
4206.74s:  Something could have moved super fast
4209.26s:  that made somebody want your trade.
4211.38s:  It could have been, I assume you mean for, wait,
4218.54s:  filled on what trade was it, by the way.
4228.34s:  Did you buy or sell?
4232.66s:  Because that will change the response
4235.22s:  I'm thinking of for you.
4241.66s:  I would assume bought.
4247.66s:  Because that would make it interesting.
4251.90s:  Bought puts, yeah.
4253.70s:  So yeah, that could mean something moved at just the right time
4257.42s:  and you happen to catch it in the middle there.
4259.42s:  It could be that your trade as it came across offset
4262.70s:  somebody else's in a way that they liked and they scooped it.
4265.94s:  So I'm going to say,
4267.86s:  there's a bunch of different reasons why it can happen.
4269.90s:  It's obviously not common and generally speaking,
4272.58s:  there's a specific reason why it would occur.
4274.74s:  But I had the inverse example today,
4276.94s:  actually posted about this in the Patreon,
4281.14s:  where there was two things I was trying to fill today.
4284.38s:  I'll tell you what they were.
4289.38s:  WBA and BYND,
4290.98s:  and I'm going to say,
4292.38s:  I'm going to say,
4293.62s:  I'm going to say,
4295.54s:  WBA and BYND,
4298.18s:  and I could identify that the trades
4300.42s:  they were trying to fill today
4301.66s:  were because they were essentially,
4304.10s:  I don't want to call them spoof orders
4306.62s:  because that's kind of a different sort of thing,
4309.50s:  but they were mispriced resting orders.
4313.06s:  And the marketing makers will do that
4315.02s:  so that they're not always showing everybody
4316.58s:  what they're pricing that volns that.
4318.34s:  And the reason why I know it was the cases
4319.90s:  because I came inside their offers
4322.34s:  and I still wasn't filled.
4323.86s:  So it tells me that there was a mispricing there.
4327.42s:  There were resting things at a mispricing.
4329.02s:  That's what led me to them because they looked attractive.
4331.22s:  But then I didn't get a fill because there were a mispricing.
4333.70s:  Nobody wanted to transact at that point.
4335.46s:  And at that, I rested.
4336.86s:  My order's there for a little bit to see if anybody would come scoop them and nobody did.
4340.30s:  So that's an example where, I mean, at that point, I was attempting to provide liquidity.
4346.74s:  But I was looking at something that was like very, very clear that didn't look priced correctly.
4352.54s:  And it was confirmed because I moved inside the bit asked spread closer to their side.
4359.34s:  And I still didn't get a fill.
4361.06s:  So you can learn a lot from the way that fills happen.
4370.54s:  All right, next question.
4375.10s:  For non-delta hedged or gamma hedged options positions.
4381.26s:  What is the most dominant input on the performance of the trade most commonly?
4389.98s:  If we're looking at the option in a vacuum.
4395.58s:  Delta, I take it.
4398.94s:  I would take that answer.
4405.38s:  There's a slightly more precise way that I would frame it personally, but I still would take delta.
4411.06s:  Back down.
4418.06s:  Rory, Teddy, welcome in.
4425.62s:  The question's posted up above.
4428.18s:  It says for non-delta hedged options positions.
4431.46s:  What is the most common dominant input on the performance of the position?
4439.42s:  Move it underlying.
4441.38s:  So G36 has it.
4442.78s:  The reason why I don't say delta, again, it's I understand what you guys mean when you say delta.
4448.98s:  But when we're in this kind of setting, I try to be as accurate as possible.
4454.22s:  And delta is not fully accurate because delta tells us the rate of change of an options premium.
4460.86s:  If you use something like beta, I could go along with it.
4465.18s:  Now in this context, though, it's just the price of the underlying, the directional movement.
4470.74s:  And I know again, that's what you mean by delta.
4472.86s:  But again, in a non-clogical setting, it delta means something else.
4478.26s:  So movement of the underlying would be the primary input.
4486.34s:  Thomas says, could you please say, if you trade zero DTEs and how?
4492.10s:  I do.
4493.46s:  I have a playlist you can check out.
4495.58s:  I'm not going to go into that here because that's not the purpose of this live stream.
4500.34s:  But I'm happy to direct you to this entire playlist that I have on zero DTE option.
4511.22s:  So Thomas, that one is real.
4514.34s:  But yes, I trade zero DTEs essentially every single day, big part of what I do.
4519.42s:  A small amount of the portfolio that goes into it, but a big part of the frequency.
4525.18s:  Cool.
4526.78s:  All right, let's take a look at a couple more.
4530.02s:  And then we'll see if there's any specific questions that you guys want to get into.
4538.26s:  This one.
4542.86s:  Describe the disposition effect.
4545.74s:  Why do you care about it?
4547.86s:  Because believe it or not, you do care.
4549.38s:  Whether you know you care or not is another, that's another question.
4553.10s:  But you do care.
4557.58s:  And I want to know why you care.
4561.98s:  Describe the disposition effect.
4571.82s:  Now for those that don't know, this is a psychology question.
4578.14s:  G36 says willing to not cut losses and take profits too early, impacting returns heavily.
4583.46s:  Yep.
4584.46s:  That's exactly it.
4586.98s:  Vladimir says, I don't even know what it is.
4588.82s:  Yeah, okay, that's why I'm asking the question because it's an important one to know.
4592.62s:  Reese says overconfidence.
4595.18s:  It's not overconfidence.
4596.50s:  That's a little bit different.
4598.30s:  But holding onto losing trades is correct.
4602.54s:  Paulo also has spot on the tendency to cash in, to take profitable trades down too quickly.
4610.50s:  And to let losing trades run.
4613.34s:  So it is a massive psychological function of traders that's very, very well documented and studied.
4622.94s:  And again, this is where a lot of the stuff I try to share with you guys comes from.
4629.90s:  So if you come in here and you go to this my website and if you go to trader decision making cognitive biases,
4636.70s:  this goes through essentially what we're all riddled with.
4642.10s:  And this is one of them.
4645.02s:  So and there's a reason why this is number one at the top.
4649.34s:  And it's because it's something that we all innately want to do.
4654.02s:  But we don't always have a solid mechanism in place to limit the impact.
4660.34s:  So it's the tendency to cut winners too short and let losing trades run.
4666.50s:  So why does this happen?
4668.94s:  Why do we do this?
4670.94s:  Well, walk me through what would lead us to want to cut a winner too fast?
4676.90s:  What's the idea?
4679.98s:  Because there's a very clear thought pattern that goes into that and why it happens.
4686.14s:  It's observable.
4688.58s:  Reese says lock in a win.
4690.22s:  Joey says I don't want to be greedy.
4691.66s:  That's a big one feels good to take profit.
4693.62s:  That's exactly it.
4694.94s:  Lost on another trade and massive.
4697.62s:  Feels bad to lose money.
4698.98s:  Fear of returning into a loser.
4700.66s:  Like literally you guys are hitting all of these individual like and look, look how varied they are.
4705.62s:  Right?
4706.38s:  This is what?
4709.14s:  Ten different comments over the course of a few seconds of all these different emotions
4713.38s:  that we have that lead to us doing this.
4715.90s:  Literally, that's exactly correct.
4718.02s:  It's the fact that there's this cocktail of reasons why taking winning trades down is so
4724.74s:  alluring.
4726.38s:  The other thing to think about is how many times have you heard nobody's ever gone
4732.02s:  broke taking profits?
4735.26s:  It sounds smart, doesn't it?
4737.50s:  It sounds real, real smart.
4739.34s:  Nobody's ever gone broke taking profits.
4741.14s:  It's like, well, yeah, I mean, I guess if you're only taking profits, how would you functionally
4746.22s:  go broke?
4747.22s:  That makes total sense.
4748.86s:  But here's the problem.
4751.06s:  If you're in the process of taking profits, I guarantee you you're in the process of booking
4755.46s:  losses as well.
4757.10s:  You just might not want to look at them.
4759.62s:  So we need to strike a balance here.
4764.30s:  And this is why I emphasize so heavily the concept of expected returns because I show
4772.42s:  examples all the time on how you can have systems with these massive high win rates that still
4780.06s:  don't matter.
4781.30s:  That still lose money in the aggregate.
4785.22s:  So this video here is about probability of profit and expected returns and why expected
4798.10s:  returns are so important.
4799.54s:  This one is about managing options, positions, and expected returns.
4815.54s:  So the process of managing expected returns is literally essential.
4825.86s:  So what I would offer to everybody is that when you're trading, stop worrying about the
4835.10s:  outcome of every one single trade and start thinking way more about the outcome of a
4841.98s:  process.
4843.98s:  Because that's where expected return lies, not in the outcome of an individual trade.
4850.86s:  When we are too concerned about the outcome of an individual trade, this is exactly why
4856.02s:  we walk into the disposition effect.
4860.46s:  Roing Titty says, are there stock therapists?
4863.18s:  That's hilarious.
4864.18s:  There's tons of them.
4865.18s:  This is, believe it or not, like with a lot of the people in the, like my mentoring program,
4871.50s:  we spend so much time going through this stuff.
4874.26s:  And the reason why we spend a lot of time going through this stuff is it sounds weird.
4878.70s:  But like the process of making money trading is, it's literally easy.
4884.90s:  Once you understand how it works, the thing that most of us spend most of our time fighting
4891.26s:  against literally is ourselves.
4896.10s:  Stocks go up, stocks go down.
4899.26s:  Volatility goes up.
4900.94s:  Everybody goes down.
4902.34s:  It's not difficult to measure the probability of those things happening.
4907.06s:  It's literally not difficult.
4909.30s:  What's difficult though is making sure that we're measuring things objectively.
4914.78s:  What's difficult though is that we're not just focusing on the outcomes when we're analyzing
4918.66s:  stuff that we like and we're looking at the overall breadth of data.
4924.06s:  This not difficult is weighing other reference points from other exercises or ideas that
4931.46s:  don't actually matter in this circumstance.
4936.34s:  So literally the process of making money is, is what it is.
4941.14s:  It's not that hard.
4943.02s:  The process of being a successful trader is a completely different prospect.
4947.02s:  And it's because we are straight up overloaded with biases.
4952.38s:  And none of us like looking through these because you start realizing that we're all
4956.14s:  fucked up like football bats.
4957.98s:  And you're like, damn.
4962.06s:  How do I even go about getting over all of this shit?
4966.50s:  And for me, the first part is becoming aware of its existence.
4969.94s:  This is exactly why when you guys hear me talk about trading and markets, I talk about
4974.54s:  them in the way that I do.
4977.10s:  And it's to try and constantly remind myself of my biases and to try to remain as objective
4983.86s:  as possible in my analysis.
4987.66s:  And it's because I know I'm riddled with these kinds of things.
