0.00s:  Great success.
2920.68s:  Not that this seems any faster as I'm sitting here waiting.
2929.64s:  Roy and Titi says option exploration and liquidation for options,
2932.76s:  expiring on the same day brokers may liquidate positions as early as 1,600 eastern time. Yep, that
2939.00s:  makes sense. Oh, 2 p.m. Wait, that's different. I don't know where you got that from, but that's wrong.
2948.36s:  The times are wrong because 2 p.m. eastern time is 1,400, not 1,600. Those are 1,600 would be 4 p.m.
2956.68s:  which would be end of day close, which would make sense. To ensure timely settlement and avoid
2962.84s:  potential issues is because options that are in the money at expiration will need to automatically
2967.64s:  be exercised and brokers need to manage their clients accordingly. Yeah, so and in that kind of
2973.32s:  instance, Roy and Titi, I think that whatever the time actually is, I'm assuming it'll be 2 p.m.
2979.32s:  So it's a little bit earlier is that's looking at stuff that's like super deep in the money,
2986.28s:  right? Stuff that definitively is overwhelmingly likely to end up in the money. I don't think it's
2992.20s:  in the case of something that's like at the money, which is an important differentiation.
2997.56s:  Okay, so the section that it provides a detailed analysis of the short interest percent based on
3011.64s:  various data points calculations, the analysis includes references to other users' post
3015.40s:  data such as deep in the money call options and their impact on synthetic shares. The other
3019.00s:  estimates that the current short interest percentage for GME is significantly higher than publicly
3022.68s:  reported figures exceeding 200% of the flow section emphasizes the complexity and potential
3027.32s:  manipulation of the market highlighting challenges and accurately determining true short interest.
3032.84s:  I mean, that sounds right to me. I think that that's also something that we've taken a look at before,
3037.16s:  so yeah, I completely dig that. I think there's no issue from my side with any of that. I dig it.
3045.48s:  Okay, I am opening up a GPT thing though, because we're going to run out. I already used one
3052.52s:  request, so I only get I think like two requests or something, which is kind of lame.
3060.52s:  I need to change the tool.
3063.00s:  Let's try using GROC for this next round. I haven't done this one before, so I'm curious
3078.76s:  how GROC will do. All right, so I think we know most of this. Let's skip through though a little bit
3089.24s:  and see what we come up with.
3093.00s:  I do not believe they're delaying. Oh, this is interesting.
3098.12s:  I do not believe they're delaying. If DDS are hiding, they are satisfying them with fake shares
3103.16s:  and simply hiding. They're ever growing short interest. I mean, I get their point, but I can't
3109.72s:  help but find that a little pedantic because if they're not actually satisfying it,
3116.52s:  it means they're delaying it because then it's not satisfied.
3123.32s:  This is why we never see the FDD squeeze theory play out. When is this from? This is interesting,
3128.92s:  because this has been like really, oh, this is cool. I'm excited now. The reason why I'm excited
3134.84s:  about this is because this is really interesting because this is something that's talked about
3143.48s:  now, like very much current state, which I can't help but find interesting. Also, I wonder if
3149.48s:  there's like a chat GPT or perplexity plug-in for Adobe.
3165.24s:  No, damn. Okay, we continue.
3169.64s:  I'm going to solve a little bit. Okay, so we know this. We see large purchases of out-of-the-money
3180.68s:  puts in the money puts out of the money calls in the money calls. That's like all the options.
3188.44s:  Oh, I see they're trying to explain each. Out-of-the-money puts used to hide short interest. This
3194.68s:  has no effect on price of GME because it's not being exercised and they maintain, oh, I even
3198.76s:  until expiration, shorters are using these to hide short interest from the world. The main
3204.84s:  counter argument to the MOAS is their short interest is 20%. They covered. So if you're shorter
3213.80s:  and you hide your short interest, you can push that narrative and hope people.
3224.68s:  Check out how short interest percent drops when put, oh, I rock it. I'm reading this
3236.76s:  slope. So I'm trying to understand and think through. There's a lot to this. That's a tough one.
3248.52s:  There's a lot to this. Where's figure one?
3258.44s:  Little put, oh, I, I don't want to hold on. What's their, what's their claim?
3289.08s:  Hide your short interest. Use out of the money puts.
3302.68s:  What's the argument here? Do you guys know what the, I'm just struggling to understand the
3312.76s:  position, because from what we read last week, we know that they can use options in different
3318.60s:  ways as locates. But I'm trying to understand the out of the money put.
3331.24s:  I'm trying to understand the out of the money put element of that because if you buy a put,
3336.04s:  let me see if I can figure this out.
3353.72s:  I'm asking chat you be to a couple questions. Well, right now, rock. But
3357.96s:  I'm talking about the stock borrowing programs.
3370.60s:  Yeah, okay. So let me see how specifically are the options used to satisfy local
3388.12s:  security.
3393.08s:  Sell security short without having to read. Yeah, we know all this. Hey, I know all this.
3399.96s:  Be more specific on what exact types of
3408.28s:  used.
3409.40s:  Yeah, covered calls we know. Here we go.
3422.84s:  What is
3429.00s:  that's fine. Those shares at that price thereby satisfying the low-cap.
3433.88s:  Yeah, this is confusing me. I'm going to text Newton question.
3464.68s:  I'm asking Newton based on his research. Essentially what he what he's seen
3485.08s:  for options trades as a satisfying function for locates.
3490.76s:  Because I can see I can see different ways for it to play out. But I'm just trying to follow
3496.84s:  this person's train of thought. And I'm struggling a little bit. It's a little it's a little tricky.
3503.72s:  And the reason why it's tricky is because there's a there's a million things going on in this very
3509.24s:  simple example. So to draw the direct conclusion here of short interest percent dropping when
3519.32s:  put oh I sky rockets. This does not equal causation. I'm not saying it doesn't equal causation.
3528.60s:  But we can't like based on this itself. We cannot make that causative statement. Because when
3535.32s:  short interest becomes super high, a billion other things are going on at the same exact time.
3541.56s:  Same thing when put open interest sky rockets. A lot of other things are going on at a
3548.60s:  point in time. So I'm just trying to see how they're making the direct connection here. And it's
3554.92s:  not immediately jumping out at me. So SPN nor wall says from what I remember was married calls
3565.48s:  puts not just puts. Yeah, well, there is a couple. A couple key ways that they were doing it.
3574.84s:  But Brookheathamall says a way to set their shares to say their shares are real and not synthetic.
3584.36s:  Yeah, no. So I'm familiar with what they're trying to do. The the question I'm having here is
3590.60s:  the relationship that they're identifying here specifically of using out of the money puts to
3595.16s:  hide short and functionally how that how that's happening.
3604.36s:  And the other like the other element of this that just isn't correct slightly nitpicky,
3609.72s:  but still I think worth mentioning at this point is that buying a lot of out of the money puts
3616.76s:  still has still has an effect. It's not it's not a function of whether or not they're
3625.32s:  exercised exercising them isn't the only way for them to have an effect, which is just important
3630.68s:  to know it doesn't really impact this example that much. I wasn't going to bother mention.
3634.92s:  But we got to get the general.
3647.00s:  Getting getting real poofy. I don't know if you guys can tell, but he's like a a fluff master 3000.
3657.40s:  He's very ready for his dinner, I think that's where he's trying to go negotiate. I try to tell
3663.48s:  Mel that we don't negotiate with terrorists, but he always says that he's acute terrorist. So
3670.20s:  he ends up giving in. And now he's down, down for the count.
3677.00s:  Spread it a roll. I'm going to open the door so he can go grab some of it.
3691.40s:  And off he goes. All right, let me get back into the regular screen here.
3699.88s:  Okay, I'll see what Newton comes back with.
3705.24s:  In the money puts are used.
3711.64s:  Cedric says Thor is a god. Yeah, exactly. He that's correct. That's his history.
3718.84s:  He's a little baby. He can't be a terrorist. That's exactly what Mel says.
3723.32s:  So then he's able to run a mock and terrorize crazy. That's absolutely crazy. Lauren says he's
3729.64s:  going to have a ponytail soon like a boomer portfolio manager. I am going to I'm letting him grow
3735.48s:  out to give him the next most ridiculous haircut that I can think of, which is always very
3739.96s:  exciting to me. All right, so in the money puts use the flashcrush price. This is an expensive move
3745.64s:  by Boolean. It's happened once. This is the last to chefe where you mass exercise in the money
3756.84s:  crash the price down.
3764.76s:  Oh, man, I just don't know, bro.
3767.48s:  I've purchased up many more so they might attempt to see.
3781.96s:  I don't understand this thought process.
3786.20s:  Wish I could ask this person questions.
3788.04s:  Yeah, I'm struggling to understand the way that they're thinking about this.
3808.28s:  Use by shorters to filter synthetic shares to rule and satisfy FTDs.
3818.76s:  Interesting.
3832.36s:  Yeah, see, the problem is especially with citing these when the market is going through an
3838.68s:  anomalous period like a lot of this stuff. It's I just I think it's it's disingenuous to make
3848.12s:  very defined statements about correlation and causation. And like I I don't think that they've
3856.92s:  connected any dots as far as I'm concerned. They've connected and identified relationships
3862.28s:  potentially. But I don't see an explanation for the relationships, right? They're they're saying
3870.20s:  that they're used by larger for out of the money calls. They're used by larger players who
3874.28s:  want a profit. The ones were purchased expire on 16 July 21 might be hoping for like it just
3881.72s:  not really to me, it looks more so like they're just kind of explaining their version of things
3886.28s:  as they think they see it, which is okay. But when I'm reading especially due diligence,
3891.96s:  I'm trying to find like researched back connections to stuff, which a lot of these have a lot of,
3899.80s:  which is why I'm applying that one. All right. And I think a lot of this is actually a little bit
3910.12s:  moot now anyways, because well, you guys tell me what is the what is the perception of the shorts?
3920.20s:  Like does the community still think that there's massive droves of shorts out still now that have
3927.08s:  open shorts that haven't satisfied through like the different offerings? Because that's one of
3934.04s:  the things that I spoke with Newton about a while ago, because I think that that's a really important
3942.60s:  consideration when we look at the idea of shorts continuing to hold massive short positions
3950.28s:  without taking some of the risk off in some degree, because it's also there's a cost to carry
3954.76s:  the short positions. So I'm really yeah, okay. So it looks like a little bit of a mixed bag.
3965.00s:  Got it. Okay. We're assuming deep in the money calls are not used to hide FDs, but rather use to
3977.80s:  satisfy. Okay. Mel is paying me that it's dinner time. So I need to figure out what we're going to order.
3997.96s:  I think she wanted barbecue, which I can get down on. Let me get this barbecue order rolling.
4013.24s:  Funny enough, you can't get it from DoorDash though. You got to do it through Uber Eats, which is
4016.92s:  kind of kind of bullshit if you ask me.
4018.84s:  Okay.
4025.00s:  Right.
4027.88s:  Mokin J's.
4031.48s:  Mike's. Looks like we have to do Mike's.
4039.32s:  All right.
4040.60s:  What do you guys think? Try tip? Probably try tip, right?
4056.68s:  Whole pork and try tip.
4060.76s:  I think that's the main thing you can do for a place like this.
4070.84s:  Brisk gets a little too fatty. I don't think that would be for me.
4079.88s:  Bacon bacon pickle spears. Yo, that's that's kind of fucking crazy, don't you think?
4090.68s:  That damn. Don't.
4094.36s:  No, not.
4100.20s:  That's next level.
4102.04s:  Horned red burn ends. I think burnt ends are pretty good.
4108.12s:  I just.
4110.76s:  Texas toast.
4114.76s:  I don't think I want no Texas toast.
4116.92s:  Yeah, I think just try tip and pull pork with.
4124.92s:  Spicy barbecue.
4127.56s:  Orce radish. Yo, these guys are kind of fucking crazy.
4131.80s:  I might need these guys to chill the fuck out just a little bit.
4139.72s:  Nuts.
4142.36s:  Bit of a.
4143.24s:  A bit of a heavy look.
4146.44s:  All right. Well, we're good though.
4148.44s:  We got that ready.
4151.16s:  Jotato says bacon pickle spears sound like something I need more of him.
4154.44s:  I like, I don't know about that man.
4156.12s:  Like that just sounds fucking weird to me.
4159.88s:  Espino or wall says theory is legacy shorts are still open and hidden.
4164.12s:  Was 230 in 2021 and the Jan run was due to game gamma option.
4170.76s:  But then what's the.
4180.68s:  What's the reason for carrying the cost?
4185.96s:  And where do we think that they got.
4189.40s:  Short.
4190.60s:  Because I don't fully understand the positioning then.
4201.80s:  If hold on let me grab treating you.
4207.08s:  That'll be dollar.
4207.88s:  All right.
4217.88s:  Looks like Mel's order is done.
4221.24s:  I'm gonna launch this bad boy.
4223.64s:  What she get.
4225.40s:  She got a fucking barbecue chicken case idea.
4231.48s:  Yo, sometimes I just have a lot of questions about my wife.
4238.28s:  I don't know.
4247.40s:  Guess whatever floats are about.
4250.60s:  That's a weird one.
4255.80s:  Okay.
4267.00s:  Weird.
4268.36s:  Feel.
4270.36s:  Feel.
4270.68s:  I was says I think they shorted again in 22.
4274.68s:  Too expensive to close but why is it too expensive to close.
4284.12s:  And then sp nor wall says I don't believe FTDs would require well FTD.
4288.84s:  FTDs are different than shorts right.
4291.80s:  Okay.
4296.76s:  Because if.
4299.48s:  What.
4301.56s:  Educate me when we say the shorts who are the shorts.
4307.16s:  Because I always took that to inherently mean hedge funds and market makers.
4315.56s:  Like between those two entities.
4317.88s:  So then.
4321.08s:  CDJ says if you accept that they were trying to sell their box to company.
4324.12s:  I think that's exactly what they were trying to do.
4325.32s:  And I think that we could see that.
4326.28s:  That that was what was being done.
4327.32s:  So I agree with that.
4331.32s:  So then.
4333.32s:  But it the reason why I asked the question is because depending on what entities we think the shorts are.
4343.32s:  It was 64 cents March of 2020.
4345.32s:  Yeah.
4346.96s:  Okay.
4347.92s:  So then.
4349.12s:  But they probably weren't getting short at 64 cents right.
4353.20s:  They were probably shorting for some time which is what would be pushing the price down.
4359.04s:  Let's take a look at that really quick.
4361.68s:  The reason I'm asking this I'm trying to understand what the community expectation is of who
4366.32s:  the shorts are.
4367.76s:  How they're holding the shorts because.
4370.08s:  Those lead to different things even in the context of trying to understand this D.D.
4375.68s:  And how they might be managing it and then how they might be holding things still.
4387.36s:  Jotate says I think they believe they'd do it bankrupt sooner rather than later in the four bill cash stockpile.
4391.68s:  So they had no motivation to close their massive losing positions.
4395.28s:  But they that's like they do have a motivation.
4399.20s:  Here's my theory just to just to throw it out there.
4402.72s:  And this is my opinion.
4404.16s:  I don't know.
4405.44s:  It would be very strange to me if there were people that shorted game stop leading into the
4411.92s:  low prices that you're citing of 64 cents in March of 2020.
4415.76s:  That have then just perpetuated their shorts the entire time frame without changing the shorts.
4421.04s:  My guess is they probably have had periods where they've taken pieces of their shorts down
4427.28s:  and then re-engage them if they were inclined to maintain the position.
4431.36s:  Now I also think that there's a reality to your point, Roy and Titty,
4436.08s:  that there absolutely could have been entities that were starting to short the stock
4441.52s:  when it was a dollar.
4443.68s:  And they got ran over so hard that they'd rather just hold the position.
4449.04s:  But there is a cost to hold those open shorts.
4452.64s:  So there's not you can't find a free short because even from like say for example,
4459.20s:  if you try to short a stock on your brokerage platform, you obviously have to borrow the stock.
4466.40s:  And then you have to borrow the stock.
4472.56s:  And then you pay a rate because you're borrowing something that you don't own.
4477.84s:  Now obviously the relationship will be completely different
4481.20s:  with the way that institutions can short they can set up swaps and things like that.
4485.76s:  But even a swap has a cost to carry, which would lead me to believe that
4492.64s:  the constitution of the shorts probably looks different for hedge funds versus the idea of market
4500.80s:  makers having uncovered short positions. My guess is that the constitutions of the shorts would
4506.64s:  be very different. And the way that the shorts are managed would be very different.
4511.04s:  And that's one of the things that confounds me a little bit when I read through the different
4514.24s:  DD because it always looks like we're looking at it from one perspective.
4517.76s:  That's actually what begged the question here because as I'm reading this,
4521.76s:  it still looks like we're continuing to think of the shorts as universal all short all in the
4529.76s:  same boat. And I actually don't think that's likely to be the case because the way that different
4538.32s:  entities would short would look slightly different. And then I think the way that they would maintain
4543.12s:  the short would also look different because the the game of satisfying FDDs from a market-making
4550.48s:  perspective is really important. Obviously, which is why a lot of them would likely find ways to
4555.28s:  satisfy FDDs so that they don't pop up on right-hand stuff like that. That becomes a problem in
4560.80s:  a threat to the business. But for hedge funds, they probably have different ways of maintaining and
4566.24s:  holding the position. And hedge funds are really the ones that would probably be more involved in
4570.48s:  the seller boxing side of things and actually trying to press price down to zero. So that I just think is
4578.80s:  a bit of a breakdown from some of what I've seen here.
4585.04s:  Roentitdy says there's there's a difference between covering and closing and I think a lot of
4590.48s:  I would agree with that and I think a lot of retail doesn't understand that. I agree with that.
4594.56s:  As Pinar well says, anybody brought up Susan Trimbath. Yeah, you guys showed me two or a
4598.48s:  couple streams ago. I actually think we read some of her work for sure. She knows a lot about these
4605.36s:  things and she used to work for the DTCC. Yeah, I think and I think we've looked at some of her work before.
4613.60s:  Let me see.
4635.76s:  Hmm.
4639.68s:  Trying to see if she has a website or something. Maybe her blog looks like she's working for an advisory
4647.60s:  firm right now. Wait, is this the right naked short greedy? Yeah, okay, cool. I'm going to shoot
4660.96s:  her a message right now.
4691.52s:  I'm saying, hey, Susan, my name is Eric. I run a YouTube channel outlier trading and I've been digging
4698.00s:  in and I have been digging into the game stop story for the past. What is this? This is 24
4706.56s:  episodes. So at least the past six months.
4710.72s:  I would love to post you on a podcast episode sometime.
4726.48s:  Episode sometime to chat about your research on FTDs, naked shorting,
4735.36s:  and market microstructure.
4743.60s:  Cool. So email sent.
4753.20s:  Email sent. I will keep you all up to date and see what we can find.
4766.32s:  Oh,
4768.40s:  Rointitie says Twitter. She's real active on Twitter. I can hit her up there too. I normally try to
4773.84s:  shoot them in email first just to because I don't like to put people on the spotlight. Like if she
4779.28s:  doesn't like to do podcasts or something or she doesn't want to do them anymore, I know that she's
4782.32s:  been on other ones, but I try to give them an easy know. But yeah, if they don't respond, then I'll
4788.40s:  typically tap them somewhere like that. Pam says, have the UBS shorts ever been confirmed or
4795.04s:  is it just a good assumption? I've not seen any proof of it. It seems like it's likely to be the
4803.60s:  case. I don't know if anybody has a different experience. But yeah, I've not seen what I would
4811.52s:  consider to be like actual proof of it. We're getting our little grip strength thing going.
4815.84s:  This thing's kind of tough. It has like this little wheel that you can jack up the strength of it
4824.56s:  on. We're just trying not to have like little baby forearms, the nature of the game.
4830.48s:  Rointitie says, how's your back, by the way? Thank you very much for asking. It's completely
4834.56s:  fucked still. But it is ever so slowly getting slightly better. It's definitely less overall
4841.52s:  painful, but it's still, yeah, I'm still locked. Unfortunately, hopefully, hopefully at some point.
4847.92s:  All right. Let's keep going through this. I think we can flip through most of this.
4864.80s:  100% of the volumes. Yeah, so they're kind of attributing all of that to synthetic and stuff.
4872.88s:  Okay.
4877.44s:  Be clear, I'm not concerned about regular investors exercising their free speech online. I'm more
4881.68s:  concerned about bad actors potentially taking advantage of influential platforms. What was this
4886.40s:  with respect to? Was he talking about the cat here?
4895.84s:  Who is he talking about here?
4897.12s:  Do you guys know? I literally have no idea who this is. Well, obviously, no Gensers. I just don't
4908.24s:  know he's talking about.
4915.60s:  Dark Mark says you've been able to change your Getsu at all. No, bro. I've been able to do shit.
4920.48s:  I can I can like hardly sit down. As you guys notice, I have to get up and down pretty
4927.20s:  pretty frequently. But yeah, like I can't hinge at the hip at all. I can get maybe 15 degrees.
4934.00s:  So yeah, I haven't been able to do shit. I've been doing really lame, boring, home,
4944.00s:  and gym exercises. But it's like a fraction of what I typically would do. I'm just trying not to
4950.88s:  stagnate entirely. And you're always always going to keep fighting. So
4957.76s:  Burntittie says no, did you say that before after he made the shitty pie in the face,
4962.00s:  game show commercial aimed at retail investors? I remember that. That yeah, and we looked at that
4967.12s:  not too long ago as well.
4970.88s:  Terrifying share recall. Okay. Seeing a lot of you talk about GameStop, potentially recalling shares.
4977.76s:  Okay, I think we can skip through this because they've not done it.
4983.20s:  Why we're still trading sideways? Interesting. We've made it through an exciting week
4991.68s:  with yet only another day sideways trading. I like to examine why I think we're not launch based
4996.40s:  on the bits and pieces that we know. What do you guys think? In April of 2021,
5003.20s:  why do you guys think it was trading sideways?
5012.96s:  Do a daily. He did it brings you back to the spot that you're at.
5031.04s:  Wish you would just let me stay where I wanted to be.
5034.72s:  So he's talking in here.
5045.44s:  So George says no catalyst. They can't push it down because of the cash pile on the buybacks.
5050.96s:  He says kitty cashed out in the soul of the GME revolution was crushed. My best guess.
5056.88s:  When you all look at these movements from 21, how much of this do you all attribute to retail
5067.60s:  traders versus other entities? Another question.
5073.36s:  Patrick says 5% retail.
5084.64s:  You boys get a sick forearm pump right now. Moving this mouse is going to be real tricky.
5093.36s:  Any other guesses? The reason why I ask is because like the idea of the cat
5101.36s:  caching out and then GME as a movement slowing down is really curious because it then opens
5111.44s:  the question of how do we think about the interplay between other institutions and to Roy and
5120.08s:  Titi's point, the GameStop revolution. Because I agree that the GameStop revolution is the absolute
5128.16s:  heart and soul is the retail trader like without it now. I guess I should say retail investor.
5133.68s:  But the retail investor, I don't think would be the only entity that would move the price.
5142.64s:  It would actually probably be a smaller subset of what ultimately moves the price as compared
5147.28s:  to larger institutions because even the volume on these days is still significant enough.
5153.52s:  This is 130 million. This is 254 million. Like the price movements coming up here, I would
5163.44s:  wager would be really difficult to tie directly to retail. And I would still imagine that a significant
5172.64s:  portion of this would be institutions of some sort trading the general price movements.
5178.80s:  So it's interesting because when I look at the start of this, stocks go sideways. Like it's normal
5190.16s:  for stocks to go sideways. And that's typically when there's a bit of a disagreement between what
5198.64s:  expected price should be for something for whatever the market consensus is, the difference
5205.28s:  between buyers and sellers, trying to find whatever price they think makes sense.
5213.84s:  All right, so let's see. Well, it's alleged at the moment it's clear that some law firms believe
5224.32s:  that there's a case against multiple entities, including DTCC for conspiracy shutting down the
5229.36s:  January 28th squeeze. I agree with that. I think that makes a lot of sense.
5238.24s:  Lauren says, I don't understand why him taking profits at points would upset people so much
5242.40s:  he spoke about trimming positions. Yeah, that's really interesting. I think a lot of people view him
5249.36s:  as essentially the price generator, like the person that moves the price. So I think people
5254.24s:  believe that if he gets out of it, then essentially their price generator has left. So at
5261.12s:  least from my best guess, I think that's mostly why you see that perspective taken by people.
5270.48s:  CDJ says, won't RK have to pay taxes if he gets out of it? If he's in a standard margin account,
5275.36s:  if he's in some sort of tax advantage to count then no. But if he's in a standard margin account,
5280.40s:  then yes. What is this? Members of potential bidders and future auctions to spend clearing
5292.24s:  members remaining portfolio. There are Jenny three views on what is about to happen. The entire
5301.36s:  system and banks are going to go belly up because the scenario described everything short DD.
5306.72s:  I don't think so. They're reacting to increased liquidity requirements stemming from last year
5312.48s:  and the expiration of a cellar. Oh man, I'm confused.
5326.48s:  Next is multiple lose.
5336.24s:  So it looks like they're talking about people positioning for some sort of like big drop or
5340.32s:  collapse. But for some market makers to provide liquidity, say you want a bunch of IGX. Yeah, okay.
5357.68s:  You might be thinking of the DD highlighting more and buff it dump any stocks over the last year.
5361.20s:  We keep in mind and dumps airline stocks. So they're talking about like the expectation of defaults.
5370.72s:  Interesting.
5384.08s:  We're on to he says he would be a really shitty trader to never take those profits. I agree with you.
5389.68s:  And the funny thing is is if he didn't take profits, he wouldn't have compounded anything.
5396.00s:  Because if you have a position on and you don't do anything with it, you don't manage it,
5401.60s:  you don't close it, you don't do anything with it, you can't make any money on it. So unless
5407.52s:  GameStop is a stock just went directly up into the right, which we know it didn't, there's
5412.88s:  no way for him to actually build the wealth that he built by just buying and holding it. And we
5418.56s:  can see that that wasn't his game plan from the beginning because we went through every single one
5424.00s:  of his trades and from the very onset, he used options. So you don't use options unless you're trading.
5430.00s:  That's why Nancy Pelosi obviously is out there slaying an option.
5439.44s:  Okay.
5440.00s:  Johnny says he could build wealth by selling calls against the shares. No, he couldn't.
5453.60s:  Absolutely, he could not. One, because we can see all the way back through all of his original
5462.40s:  portfolio updates, there was never a short call in there. But more importantly, short calls
5469.28s:  at the scale that he hit absolutely could bring him money, but it's not going to build you wealth.
5476.00s:  Short calls, they're defined profit by their nature. So a lot of people are speculating and it's
5484.72s:  it's really interesting to me that people are so adverse to him selling his shares that we willingly
5491.44s:  take the leap into something that's a more convoluted explanation for what likely is to have
5499.92s:  happened because none of us can fully prove it one way or the other, which is very fascinating to
5504.24s:  me because the simplest explanation would be that he very effectively traded around his positions,
5510.96s:  buying low selling high, continuing to do that. But yeah, it goes back to Lauren's point from before,
5519.04s:  people seem to get really, really upset at the conversation of him unwinding his shares,
5524.08s:  which is really, really interesting to me or unwinding options position. Because he's doing the
5531.04s:  right thing. He's trading. That's how you make money as a trader is by moving into and out of
5536.40s:  positions when it makes sense. This talks about other institutional longs choose not to recall.
5544.40s:  This is back on the share recall. We got a calendar.
5555.60s:  Something interesting.
5557.60s:  We need to find a liquidation of failing members. Okay, so I don't think that this actually
5577.12s:  came to pass.
5581.84s:  Interesting. This is also interesting. What did it interesting? Quote?
5588.56s:  Because a lot of times people seem to get upset with RC for making what I would consider
5595.60s:  to be a series of pretty solid businesses, like the better of the company.
5602.96s:  Even though it does absolutely come at the cost of near-term price movements and whatnot.
5610.56s:  So this is interesting because I think there's a great quote from him.
5619.12s:  Jimmy is not a political debate. It's a class war.
5627.20s:  Runtidy says the root of the upset people is people who became bag holders. Yeah.
5631.76s:  And I can see that. I can even see that in the options,
5634.80s:  chains when I look through those and whatnot. That's why I spend actually a lot of time talking about
5639.68s:  how to trade in and out of options so that a trader doesn't necessarily find themselves in that
5647.60s:  scenario because it's always good to, especially as a trader to make money. When you make money as
5653.60s:  a trader, that's a good day. So I think for individual retail traders, they have to integrate that
5662.16s:  into their approach. The buy and hold thing is fine. If somebody thinks that that's the right
5668.24s:  approach for them, but that's also dangerous because if the primary profit mechanism that we're
5673.36s:  talking about is a short squeeze or a gamma squeeze or some sort of squeeze, a big price movement,
5678.48s:  but then there's no expectation to sell, you're unable to monetize the price movement.
5685.20s:  It's just an unrealized gain that sits there and that doesn't ultimately help you buy more shares
5692.72s:  or do whatever the ultimate objective is or take your money out and use that to change your
5697.28s:  family's life, whatever the ultimate objective is. So that's been a pretty consistent breakdown as
5704.88s:  far as I can see with the logic of people that are hoping for some sort of squeeze, but then they
5710.32s:  don't have at least some sort of exit plan in place to monetize it because otherwise you can go
5717.60s:  through the short squeeze, but then you might emerge at the other end, which is cool, but you might
5723.60s:  emerge at the other end with no more or less money than what you started with, which is, I don't
5729.20s:  know, I think that that would be the not not the objective. All right, so here's our leaveoff points
5737.44s:  for 14 Ds. And then I don't know if we're going to have one of these next weekend because I'm going to
5748.80s:  be traveling. I'm still going to stream intermittently next week, but I'm going to be popping around
5755.60s:  a little bit. Yeah, I don't get in. Oh, actually, I might get in in time. Maybe we'll see.
5763.28s:  I might get in a little bit too late for a stream on next Saturday. I don't want to go through
5770.08s:  this one yet. I'm going to save this one. Cool. Anything else that we should hit before
5778.96s:  we bounce?
5789.60s:  This thing has been so volatile. There's just from, I mean, that's how I found my way into it with
5804.80s:  the options trading space. We really cherish volatility. And this thing has had so much of it.
5818.32s:  Pam says in the congressional hearing, he even mentioned how the money he made in on GS was
5825.20s:  going to go a long way. He didn't die in hand, obviously. Yeah, well, and I think that's the
5830.00s:  other thing that happened with the game stop stuff is that that clearly went into what he
5836.40s:  rightfully labeled a yolo portfolio where he was just saying that somebody that took $100,000
5844.00s:  at the onset. And they said, this $100,000, it's a lot of money, but I can make that again,
5848.72s:  or I'm good without it. And I'm going to see what I can do with it. That's exactly what that was,
5854.24s:  which is very cool. Roryntady says, buy and hold came from the principle that the flow was being
5859.28s:  locked up in the shorts needed our shares and would be forced to buy at any price. New retail
5863.92s:  had no idea how any of this worked and behaved. That's what would happen. So the diamond forever
5868.88s:  not understanding the marketing mechanics. Yeah. And that's, I completely agree because especially
5872.80s:  for the people that are talking about like buy hold, D.R.S., that's fine too. But the main thing is
5879.44s:  for those kinds of people, if you do that, you don't monetize the move. And that's why like the move
5885.04s:  here from 14 up to 64, you can make a lot of money on it. You can make a lot of money on it.
5894.64s:  But if you buy and hold and your shares are D.R.S., you've essentially made, which still isn't
5903.04s:  bad, by the way. But like you essentially would have made that what nine and change and you're
5908.88s:  sitting at 28 now. But you had an exit point here to be, shit. From, I mean, there's just so many
5924.00s:  potential exit points for somebody that was getting in pre squeeze here. So yeah, it's just,
5929.76s:  that's a long holding period from here to here to go from five or nine and then to be sitting at
5936.40s:  28 after four years or five years when all of these individual spikes can be monetized. And
5945.20s:  I mean, you guys, I keep it completely straight with you guys. I hold shares just as a play of
5953.52s:  solidarity with the apes. But it's a very small subset of my total capital. And what I do mostly with
5962.24s:  GameStop is I trade the movements because it moves really well. And there's a lot of ways to,
5967.52s:  again, monetize the movements. But buying and holding, especially something like this, it will,
5974.16s:  will take a little bit of time. I think the company looks good. I think the prospects of the company
5979.04s:  turning around are really strong. But I do think that the company is positioned well. But that kind of
5985.12s:  stuff still takes time to eventually come to the surface, which that's what people will have to
5991.04s:  be willing to hold through. And even that, they need to have an exit here, an exit plan in order
5997.60s:  to eventually make the money. Because otherwise it just sits as an unrealized game, which is cool to
6003.20s:  have. But you that doesn't pay bills. And that's not the the thing that will ultimately change,
6010.40s:  you know, somebody's life that they'll they'll want to find ways. Even if it's one of the easiest ways
6015.68s:  things can do is take partial profits. I'm in the process of making a couple different
6021.52s:  videos for GameStop on how to essentially trade a stock like GameStop with some different
6027.60s:  strategies to give people ideas. But even if you want to buy and hold in DRS, some of your shares,
6032.88s:  you can have some of it that you're, you know, actively moving in and out of to then slowly
6037.84s:  accumulate more shares in your base share position or something like that. There's different things
6042.80s:  folks can do. But I just want to see people be able to hit their objectives because I know a really
6049.12s:  big part of the GameStop community and the apes is people are looking for a change in their lives.
6055.60s:  They're literally looking for something to lead to a significant change in their current life,
6061.12s:  scenario, their life perspective, the situation that they're in. And I want to see people be able to
6067.92s:  do that because trading is unequivocally done that for me. Like it literally has done that
6072.08s:  exact thing for me. So I know it can be done. But I also know that you kind of have to think through
6077.84s:  what you're trying to do in order to get the outcome you're looking for. So I hope people can
