0.00s:  What's up everybody?
2853.92s:  no how quiet am I talking melisheaks are ahead of me complete bullshit if it's too loud let me know I can I can turn it down for you guys but so here's a system that has really small winning trades
2873.92s:  slightly well not slightly significantly larger losing trades and it's positively expected here's one system now let's pretend this is another system let's say that in this case we have four winning trades and let's say two losing trades same profile
2896.92s:  what happens we have a massive problem
2902.92s:  we have an absolutely massive problem you see the problem here so the issue in this case is we have the same exact average when size the same average loss size that I just showed you but in this sample it's negatively expected that's a problem
2921.92s:  so one of the things that we can do to kind of always keep our width about us with this is something like this if we change this formula and what we do is we have a change in it looks like this we can have
2942.92s:  a sample so in the sample we can say instead of doing this over four and two trades we can model what this might look like over a 100 trade system
2961.92s:  so then what we can do is we can essentially forecast if we continue on this current approach what would this look like because what I just showed you is that if we have a better win rate 92 and eight we have a positively expected system but that's based on a 92% win rate and a% loss rate if I do what was it five and three or five and whatever five and I forgot what it did it doesn't matter
2990.92s:  five and three then you can see 62% win rate just doesn't cut it so what I'm what I'm trying to elucidate for you is that deciding when to take profits has to be based on the system I just showed you a system that had the same exact average when average loss but a different sample size which yields different probabilities because of that variance and probabilities it makes all the difference
3018.92s:  so to trade to turn this into like practical trading terms if I have a system let's say zero dts and we're trading zero dts and spx well this literally means conceivably you could do it like 252 times that's your sample meanwhile let's say that I'm trading something like host earnings announcement drift only in mega cap companies mega caps that only have weekly options
3047.92s:  what I'm doing is I'm adding filters that will decrease the number of occurrences right so just from a nutshell if we look at post earnings announcement drift there's four quarters in a year for mega cap stocks that have weekly options that are liquid let's say that there's maybe 20 of those probably a little bit more than that being realistic but just for the sake of the example in this system here notice how we want to do that
3077.92s:  only get to have 80 occurrences this is a different system with a different risk profile this has to be traded differently than something like this your zero dts px approach can be the kind of thing that has a lower average when a larger win rate and it can come out in the wash because there's enough opportunities
3100.92s:  to do that and I think it's a different system like this that has fewer sample size will not allow you to do that so you have to determine based on your strategy what makes sense I hope that makes sense because I think it's an important note that a lot of people come up with because traders they go through this series of things were like we feel like we're being really really smart when we say like oh I'm going to manage my profits it sounds smart and then we'll becomes even more nefarious is what we're going to do is we're going to do that
3129.92s:  have a lot of that is the most important thing that we're going to do is not be ridiculous but this is what traders say not to be greedy either because it's good not to be greedy but I talked about this before in the fact that doesn't work well in training it just doesn't work
3144.92s:  because you can't apply broad things like that so yeah anyways back over here and let's talk about
3158.92s:  is not meeting, we know about REG show.
3163.72s:  Let's see what this says.
3165.36s:  Oh, I wanna read these case studies.
3166.52s:  It says ABN Amro repeated violations over eight years,
3171.32s:  including misreporting short interest
3173.24s:  in understating margin requirements.
3175.20s:  Interesting.
3176.16s:  These actions undermine market integrity
3177.88s:  but resulted in minor fines.
3179.28s:  So we already know, and this is one of the things
3181.32s:  that they were highlighting in that documentation
3184.56s:  from the due diligence,
3185.60s:  is that they are highlighting how small the fines were.
3188.84s:  APEX clearing over four years,
3190.96s:  they excluded 1.36 million shares from short interest reports
3194.20s:  across just two sample sentiment periods,
3197.72s:  suggesting widespread under reporting.
3201.12s:  Now, one of the things I'm curious about with these
3204.00s:  is other than the financial impact,
3209.00s:  did they do any research to objectively find out
3216.00s:  if there was nefarious activity?
3218.00s:  I know that we all assume that there is,
3220.00s:  but I'm curious if that was proven.
3226.00s:  Because I know that, again,
3229.00s:  I know that that's our underlying assumption,
3231.00s:  but I don't know if it's actually been proven in something.
3234.00s:  Let me see if I can find that APEX is a good example.
3237.00s:  Let me see if I can find that APEX thing.
3240.64s:  Goldman Sachs has been up here a bunch of times.
3244.80s:  See group.
3248.40s:  I wanna see what they found, Barclays.
3261.40s:  Here is.
3262.24s:  Evident short selling.
3268.44s:  Here goes, initiated a case for doing the same stuff
3271.20s:  as Ameral magnitude of this violation
3273.04s:  really puts things in perspectives.
3277.64s:  Without admitting or denying the findings,
3279.52s:  the firm consented to the sanctions
3281.52s:  into the entry of findings that it failed to comply
3284.64s:  with finisher interest reporting requirements
3287.32s:  and related supervision obligations,
3291.24s:  find and state it that the firm experienced an issue
3293.44s:  in its short interest reporting logic
3295.24s:  that excluded certain short interest positions
3298.56s:  from the firm submission of Fennora.
3300.88s:  Okay, so this is, they're trying to say
3303.24s:  that it was due to systems issues.
3304.72s:  So again, I'm sure that unless they were forced
3307.52s:  to be an investigation to actually,
3312.76s:  you know, to somebody else to figure out exactly
3315.60s:  what happened, I'm sure that they would lean on this.
3317.40s:  So what I derive from this is it's just inconclusive.
3320.76s:  We don't know if it's like legitimately purposely
3324.56s:  being done, we can make assumptions,
3326.60s:  but we don't know objectively.
3329.56s:  So yeah.
3332.28s:  Interesting.
3333.88s:  All right, let's go back to this.
3337.80s:  Yep, we know this.
3340.68s:  DTCC.
3344.80s:  Well, design and streamline settlements,
3346.40s:  systems has enabled manipulative practices
3348.64s:  like negative choice selling.
3350.12s:  So are they trying to speculate that DTCC
3352.84s:  that the DTCC is complicit?
3354.96s:  Or are they just saying that there's not enough oversight?
3363.88s:  Uh, WETC says, if I remember correctly,
3366.88s:  Barclays through Lehman at one point was GME's underwriter.
3370.60s:  Oh, interesting.
3373.00s:  I don't know anything about that.
3374.52s:  It sounds interesting though.
3376.40s:  I just want to see if they think that DTC,
3383.40s:  DTCC is like explicitly trying to enable it,
3388.40s:  or if they're just not, not proper full oversight.
3391.88s:  Issues are sought to withdraw securities from DTC.
3395.04s:  I remember reading about that.
3396.16s:  They denied these requests.
3399.36s:  Okay.
3401.44s:  Yep, and we know about seed.
3407.36s:  Lack of transparency,
3409.16s:  if populations are isolated incidents rather than systematic issues,
3413.20s:  I think that's correct.
3414.88s:  This is, I think this is completely correct.
3418.56s:  The, a long, almost like there's somebody on the other door.
3427.68s:  Yes.
3430.76s:  Oh, I've not even been approved.
3432.32s:  Thank you so much.
3433.32s:  Thank you.
3436.96s:  I can even know what that means.
3441.96s:  They gave us this.
3446.44s:  They, this is a turn down service.
3448.48s:  Does that mean we just had somebody come by the room and all for us a turn down service.
3458.32s:  I'm more in the turn down for what camp.
3462.36s:  What is a turn down service?
3464.72s:  Turn down.
3466.40s:  What?
3471.40s:  Is this real?
3474.48s:  What?
3483.92s:  What?
3490.88s:  That's crazy.
3492.36s:  So this says they turn down the bed.
3496.52s:  Turning back the top covers and refreshing the linens.
3501.20s:  They tidy up the room.
3502.48s:  What the fuck?
3504.76s:  Leaving a small tree chocolate on the pillow or bedside table,
3509.12s:  closing the curtains and turning the lights so that they literally like put you to bed.
3515.68s:  That's fucking crazy.
3517.76s:  You know, people are nuts.
3522.28s:  Campy like that.
3526.68s:  Yeah, but I definitely think that this happens without a doubt because we,
3530.60s:  we see that with like the, the repeat instances of offenses in, in places like this.
3541.96s:  Interesting.
3544.64s:  MuleSpec says, is this an episode of Beverly Hill buildings?
3548.32s:  Apparently, I'm going to tell you guys.
3550.28s:  I don't know anything about this shit.
3552.00s:  I literally did not know what that was.
3554.32s:  It's, I,
3556.40s:  yeah, it, that's a very strange thing to me.
3558.76s:  I don't know why anybody would want that.
3561.36s:  Says fucking bizarre.
3567.72s:  Mashton says, turn on services, the practice of staff entering a guest room and turning down the bed.
3573.72s:  Linen of bed.
3574.40s:  Yeah, it's like crazy.
3575.32s:  Like just, just fucking get in the bed yourself like a grown adult.
3582.52s:  WTDC says, it's a long time for me on this stuff.
3585.68s:  But there could be a Lehman rep on the DTCC board if the underwriter allows the offer to be a result.
3591.04s:  Yeah, well, I think it's a massive conflict of interest.
3593.96s:  But I also think based on the, like these citations, right, Barclays, Barclays,
3602.12s:  Parabets is on here a couple times.
3606.92s:  City group up a bunch of times.
3609.20s:  It's like the bigger you are, the more you're on here,
3611.92s:  Deutsche Bank, Goldman.
3615.00s:  So it's like, but again, this is one of the things to keep in mind is that I,
3621.08s:  I don't necessarily think like every single instance of this is nefarious activity.
3627.28s:  Like I, I generally do think with bigger companies like this, they're going to have issues oversight problems.
3633.92s:  Like that's natural.
3635.48s:  But for a lot of it to be so focal on this is sus to me.
3640.44s:  And I think that there's no way that most of them don't know what they're doing with respect to like the naked shorting.
3645.96s:  Like that's, that's an active choice.
3648.24s:  So yeah, crazy.
3652.76s:  All right.
3654.12s:  Anything else that you guys want to hit before I wrap up because we got to go grab some dinner,
3659.40s:  but happy to take another look at anything else.
3662.68s:  I'm going to try to figure out how to add a natural bookmark here so that we can get back to this easier.
3668.88s:  Maybe I'll add a comment this time.
3674.44s:  Last spot.
3678.80s:  See if we can find a way to get there.
3688.88s:  Yeah, okay, perfect.
3689.80s:  This works great.
3690.52s:  So now we know how to find our spot easily.
3694.20s:  The Johnson's MSTR we could take a look at that another day.
3701.16s:  I try to keep these a little more game stop focused.
3703.32s:  So happy to take a look at that either tomorrow or on Monday or Tuesday or something.
3711.44s:  Unclothed Salamander Sandwich.
3714.84s:  That's hilarious.
3717.56s:  Could Jamie bone cone at 35?
3719.72s:  Let's take a look at the probabilities on that real fast.
3722.16s:  And we can we can know with certainty.
3731.48s:  Is this where?
3736.20s:  Is this where it is?
3742.80s:  I think it should be in here.
3747.12s:  It's not.
3748.72s:  It was a little bit.
3754.92s:  So yeah, let's grab GameStopup here real fast.
3759.16s:  Kill this.
3760.16s:  So if we peak at GameStop's current state, 35 is right there.
3771.12s:  My instinct would say 35 is very unlikely.
3777.92s:  Unless there's a very specific catalyst.
3783.24s:  The reason why I think 35 is unlikely is because this move.
3787.92s:  And I actually think it's a good thing that it's unlikely to be clear.
3791.04s:  Because this move has been very orderly.
3793.56s:  It's been moving in really nice phases.
3797.44s:  It's seeing good movement on volume, volume variance, moving averages are starting to look really, really good.
3804.84s:  So my guess, best guess is that we would see GameStop probably hover like this.
3814.52s:  In that range, leading into earnings, that would be my guess, kind of this range.
3819.52s:  And the reason for that is most companies will start to slow down as it gets closer to earnings, which is on the fourth.
3826.00s:  So maybe it's still us two weeks.
3829.52s:  So maybe it could be a little more active before.
3832.32s:  But the probability of this hitting 35, I imagine is going to be pretty low.
3838.16s:  Let's see.
3840.24s:  So the probability of a touch at 35.
3847.04s:  Yeah, I stand corrected.
3850.60s:  This is showing like a 50% chance, 51% chance actually.
3854.36s:  So slight edge, bigger chance than I thought.
3857.72s:  So obviously these options have a lot of volatility in them more than actual.
3861.72s:  Yeah, so they do stop.
3862.92s:  I was wondering because when I literally just looked at this yesterday, the, the, the ball itself wasn't this heavy.
3869.36s:  So yeah, this makes, this makes a lot more sense now.
3875.40s:  I get it.
3877.36s:  So yeah, it looks like the, the easy answer to that question is like a just shy 51% probability.
3886.04s:  So there's a little bit more ball.
3888.12s:  I again, I still would imagine there to have to be a pretty strong catalyst, but we'll see.
3893.40s:  Mashin says, do we think arcade figured out the alga's they're using the tweets to break the alga's during its by phase?
3899.40s:  Think so personally.
3901.08s:  I think that he knows that his tweets have an impact on the market.
3904.96s:  And I think that he enjoys playing with that.
3907.80s:  But I don't think that, um, I don't think that he's like trying to break any sort of like the buyback.
3915.20s:  Behavior or something like that because.
3919.32s:  Like, I don't think his tweets would actually disrupt a by phase.
3922.96s:  I think that they would encourage it.
3924.80s:  So.
3926.96s:  All right, guys, time for me to go grab dinner.
3928.92s:  Great.
3929.20s:  Hang in out.
3929.72s:  I don't know one of the next live stream will be, um, sometime in the next couple of days, probably.
3933.88s:  So I'll, I'll let you guys know the day of the Thanksgiving and out for a little bit.
3937.68s:  If you guys need anything, throw it in the discord, be an outlier, be an ape, be an outlier, ape, whatever's most applicable.
3943.48s:  Is he guys later?
