0.00s:  What's up everyone?
2144.52s:  I wouldn't even think of it as in terms of expected tick change.
2147.48s:  It's okay to look at that, right?
2148.48s:  Because that's what Delta's telling you.
2150.20s:  It's literally just telling you how expensive the balls are
2152.76s:  that you're trading.
2153.72s:  That's essentially it.
2155.76s:  Rolando says, but if you do a little TA,
2157.48s:  you can see that a chart is really looking,
2159.04s:  oh, I think I missed, oh, I have to go back up.
2162.52s:  Rolando says, I have a question.
2164.72s:  Why did you sell your options today?
2166.32s:  I understand your strategy is more conservative
2168.00s:  and you swing trading.
2170.96s:  But if you do a little TA,
2171.80s:  you can see the chart is looking really good for next week.
2173.96s:  Mac, D cross.
2175.48s:  Yeah, so a couple of things.
2179.36s:  And he's referring to the GME trade.
2182.20s:  I still have a position on, as I said,
2183.92s:  like I still have right now.
2188.12s:  I still have long shares and I do have options in it still.
2192.72s:  I just wasn't able to establish the position I wanted out here
2196.80s:  in 18 October.
2198.36s:  I have exposure now in 20 September.
2201.20s:  So the only thing I did was take in my 16 augs
2204.68s:  and the reason for that is because they're starting
2208.04s:  to get to a point where on a relative basis
2211.12s:  on the remaining value of the options,
2214.44s:  it's going to decay much faster.
2217.08s:  So it means that I need bigger moves in order for this
2220.56s:  to stay essentially where I want.
2223.16s:  So I had a pretty decent price accommodation
2227.32s:  from where I entered the trade.
2229.64s:  It's for me, like I said in the video,
2232.28s:  like I'm a trader, right?
2233.84s:  And my job is to make money.
2236.16s:  So I look at something that is made money.
2238.56s:  It's slowing down, it's up move.
2241.16s:  And I do have kind of the rest of the exposure
2244.92s:  that I want at the time.
2246.60s:  So yeah, that's literally exactly why.
2249.32s:  What you don't want to do with options is wait too long,
2252.16s:  especially if you're buying them.
2254.12s:  If you're buying options, it's really, really difficult
2258.28s:  to strike a balance in terms of an expected return,
2262.08s:  which we can talk about that a little bit.
2265.32s:  But it's important to remember that you literally
2269.12s:  are holding a decaying asset, right?
2271.84s:  It's something that's disappearing in your hands.
2274.88s:  And if you hold on to it for too long,
2277.28s:  you lose a decent amount of the value.
2279.72s:  Even though I tend to go in the money,
2282.24s:  there's still extrinsic value in those options
2284.64s:  that's decaying away.
2286.36s:  So for example, if we go out here to the 20 steps,
2290.64s:  you can see that even really high delta options,
2294.92s:  let's use something like this, the 20s,
2298.04s:  they're, you know, bid 730 offered at eight.
2301.64s:  But of that, you know, whatever,
2304.72s:  seven and a half or three,
2307.64s:  I don't know where you would get filled in here.
2309.20s:  I noticed that the markets tend to be pretty liquid,
2312.24s:  meaning you're not going to get hit at the mid,
2315.84s:  especially if you're buying.
2316.80s:  You're probably going to be a little more offer heavy.
2319.12s:  That's what I've noticed at least.
2320.84s:  And in that, if I'm looking to gain exposure to GameStop
2325.76s:  and I'm buying calls,
2327.60s:  let's say I take them in for seven 80, something like that.
2333.16s:  And of that seven 80, at least a dollar 20 or so
2340.80s:  is extrinsic value that's going,
2343.16s:  that's bleeding out of the position.
2345.44s:  So that means as time is passing,
2348.84s:  this is slowly coming out of my,
2350.76s:  that's adding drag to my returns.
2353.72s:  So that means I need GameStop to move more
2356.92s:  to compensate for what I'm losing on Theta2K.
2360.68s:  That starts to accelerate as you're closer in time.
2364.60s:  I actually have neat little, again, I told you,
2368.24s:  like this thing is becoming like the,
2371.36s:  everything reference.
2372.88s:  What that is showing you though is this,
2376.36s:  as we start getting within 60 days on a relative basis,
2380.24s:  Theta2K really accelerates as extrinsic value
2384.00s:  approximates to zero as we get nearer the expiration.
2388.88s:  So that is in a nutshell why I adjusted the position I did.
2394.08s:  So if there's any follow on questions to that, let me know.
2399.60s:  Bryce asked, have a question about GME options.
2401.92s:  So let's say the market has a huge squeeze to the upside next week
2405.32s:  and the option is for October,
2407.56s:  wouldn't this create difficulty for selling since it's far out?
2409.96s:  Nope, a couple of things.
2412.00s:  The first thing is if we,
2414.28s:  there's some sort of like really big move,
2417.48s:  all options will become slightly less liquid.
2420.80s:  So volatility is lifeblood.
2423.40s:  You need volatility.
2425.52s:  Volatility is what brings people in to even create
2429.00s:  a baseline liquidity.
2430.96s:  But if volatility expands a lot,
2434.36s:  let's say based on really big moves in GameStop,
2437.84s:  if that happens,
2439.04s:  volatility will, the market makers are going to widen the markets.
2443.12s:  And this is largely to protect themselves.
2445.92s:  Otherwise, they can get ran over.
2447.36s:  I know a lot of people want to look at the market makers
2449.56s:  and make the amount to be the bad guy.
2451.68s:  And I'm not saying that they're all angels.
2453.24s:  They definitely have their motivations.
2455.52s:  But they still have pretty difficult periods
2459.48s:  to manage risk, especially in like really hyperbolic markets.
2464.32s:  So if vol starts skyrocketing,
2468.52s:  whether because the market is flying up
2470.52s:  or the market's crashing down,
2472.72s:  the market makers are going to widen those bit-ask spreads
2476.12s:  and everything will become wide.
2478.64s:  Now to your point,
2480.56s:  if you go further out in time,
2482.76s:  it naturally is less liquid.
2485.28s:  So if we look at these seven-day options,
2487.08s:  let's find us a 80-dalta-ish.
2489.52s:  I see them here at the 24s,
2491.88s:  and I see them bid 244 offered 260.
2496.24s:  If I go out here to the same 81-dalta-ish,
2500.56s:  this is an 80-dalta,
2502.28s:  their bid 795 offered at a 20.
2506.04s:  That's actually really,
2507.00s:  that's tight on a relative basis.
2509.20s:  So this actually looks pretty good now.
2511.84s:  But the further out in time you go,
2514.92s:  the wider those markets tend to get.
2517.92s:  So this is another great example.
2519.56s:  If we go out now to the 20 June's,
2521.96s:  you'll see that the 79-dalta closes to 81 that we have.
2525.92s:  Bid 1040 offered 1175.
2529.84s:  So you will fight some level of liquidity
2533.76s:  to answer a braces question,
2535.80s:  but it's not like that's going to murder your ability
2539.52s:  to make any money.
2540.80s:  It just means you're going to take a bigger haircut,
2542.68s:  getting out of the position.
2543.68s:  And we can go back.
2544.76s:  We literally, we have time.
2546.36s:  We can go into the, into on demand.
2548.76s:  Let's go to the 14th.
2552.44s:  And let's check out like maybe midday.
2556.56s:  Let's go to on demand.
2561.00s:  And this is of May.
2565.48s:  May 14th.
2567.72s:  About midday take us to like 11.
2572.88s:  And let's see.
2575.16s:  Let's see what these, what these options we're looking like.
2590.36s:  And this is crazy.
2592.44s:  Notice how crazy that looks right now they get the ball
2594.84s:  just fucking jacking up here.
2597.80s:  Nuts.
2598.96s:  All right.
2600.92s:  I guess it would have been better if I showed us a comparison,
2603.32s:  huh?
2604.68s:  Yeah, that's shame on me.
2606.16s:  Let's do like,
2607.48s:  oh god, these options are so weird.
2609.68s:  There we go.
2611.00s:  Yeah, so let me take us a couple days back
2613.56s:  to for a comparison.
2614.76s:  Let's go to 30 April.
2618.00s:  April 30.
2621.92s:  So what I want to do is show you guys on a relative basis,
2626.08s:  what happens even if the underlying jacks to the upside.
2631.28s:  I want to show you what happens to the options
2633.88s:  in terms of liquidity.
2638.68s:  So in this case, let's up to this to that.
2642.52s:  So in this case, if we go to the at the money, the 11s,
2646.20s:  right now they're bid at one,
2648.44s:  oh, two offered at one, 10.
2650.40s:  So that's eight cents wide.
2652.40s:  Now the first thing I want to inform you guys on is that
2657.20s:  this is actually really wide for such a cheap product.
2661.08s:  But these options are also really, really elevated
2664.80s:  for such a cheap product.
2665.96s:  It's actually like completely fascinating.
2668.04s:  It's one of the reasons why this thing
2669.72s:  is so fun for me to look at
2671.92s:  because it does a lot of very strange things.
2676.08s:  So even though this is only eight cents wide
2678.64s:  on a relative basis for an $11 product,
2680.88s:  that's a big bid-ask spread.
2684.56s:  I, so now we go back to me,
2687.84s:  what was I said, the 14th,
2689.44s:  and we'll look at the at the monies.
2692.40s:  And then I think they were,
2696.40s:  I just want to use like a solid comparison.
2698.88s:  We'll go to the 21 June's that are 38 days out.
2703.00s:  And then let's grab like 25, okay?
2706.20s:  So we're not seeing anything here that's kind of annoying.
2709.56s:  Maybe 31's?
2710.48s:  Nope, that's kind of annoying.
2712.16s:  Let me see.
2715.16s:  So you can already tell how weird this is, right?
2717.24s:  Like I can't even find out of the money options
2719.72s:  to look at with you guys.
2720.68s:  I'm trying to find options that are around like 55 Delta.
2724.16s:  But it's behaving so crazily.
2727.48s:  Let me see if I get it closer to the open
2729.48s:  before it went through all of this madness.
2732.24s:  Let's do like 0900.
2736.08s:  And it's still already went through the madness.
2740.16s:  Maybe I'll go one day before.
2742.68s:  And I know that it shows up in the 17 Mays.
2745.56s:  So we can look at those two if we have to.
2747.64s:  I wanted to give you guys a clue.
2749.44s:  Yeah, this is fine.
2750.60s:  This will work.
2756.60s:  So here are your 51 Delta's.
2759.84s:  They're down here.
2761.16s:  And it is the 50 choose.
2764.48s:  And their bid 780 offered 805.
2767.72s:  And then we can see the 502.
2770.00s:  80 offered 805.
2771.96s:  So in this case, damn it, they moved.
2776.16s:  Here we go.
2777.92s:  So the 34s and the 35s, the 35s are crazy wide, right?
2783.64s:  So right now if we look at the 34s,
2786.04s:  they're 5550 to 575.
2788.88s:  So 25 cents wide.
2790.68s:  So even though price went up pretty significantly,
2796.04s:  the value of the same Delta option is skyrocketed.
2801.12s:  And if you look at this next option,
2802.76s:  it's bid at 355 offered at 635.
2806.84s:  So this is the market's widening their liquidity.
2810.68s:  So if we go further out in time,
2813.16s:  let's do like these 19 July's,
2815.60s:  you'll see that they're also wide,
2818.00s:  but they're not like not tradable wide.
2820.96s:  They're just wide.
2822.40s:  So in this case, the 25s,
2824.28s:  their bid 1070 offered 1165.
2827.08s:  So you're taking a dollar haircut essentially.
2829.08s:  That's not insignificant,
2831.00s:  but this doesn't necessarily decrease your ability
2836.20s:  to transact here.
2837.72s:  So that is, that's that.
2841.80s:  I forgot who asked that question,
2843.48s:  but let me know if that answers it
2845.36s:  to the shadow quite, man, this is crazy.
2849.52s:  The volume here is just.
2850.60s:  So it's literally incredible to look at.
2853.16s:  It's nuts.
2855.08s:  Let me know if that answers your question.
2860.16s:  Nick says, Reece says,
2862.16s:  do you have core investments you plan to hold indefinitely?
2864.88s:  Nope.
2865.96s:  I do not have that.
2868.76s:  I am a trader.
2870.52s:  So I trade everything.
2871.88s:  Even the retirement accounts I have, I trade those.
2876.56s:  Yeah, I trade everything.
2878.24s:  I have no attachment to individual products.
2881.68s:  And I actually care a lot about trying to maximize
2885.00s:  the return potential,
2886.20s:  which holding indefinitely doesn't do that for me.
2891.16s:  So no, not for me.
2894.88s:  MK says, can you give an explanation on how it is better
2897.48s:  to understand option premiums?
2901.16s:  I'm trying to deconstruct how notorious Ripy say,
2905.12s:  I don't know who the fuck that is.
2907.08s:  Is there something market makers do on premiums
2910.16s:  on specific strikes?
2915.32s:  I'd love to answer, but I don't understand your question.
2919.52s:  When you say better understand option premiums,
2922.20s:  I don't know what that means.
2923.36s:  Do you mean like how they're built?
2925.56s:  Or something else?
2928.68s:  Rama says, thank you for the content, learning a ton.
2932.04s:  That's awesome.
2933.28s:  Feel pretty comfortable with the first order Greeks.
2935.48s:  That's great.
2937.76s:  Rama says, I've been selling covered calls,
2940.00s:  selling cash secured puts, and it's been profitable.
2943.48s:  What would you suggest is my immediate next steps
2945.88s:  in learning do need to learn iron condors, et cetera?
2949.20s:  Great question.
2950.52s:  So this is what I would do.
2953.24s:  Literally I would follow this guide.
2955.44s:  And I will share it.
2957.04s:  This is available literally for everybody for free.
2959.24s:  There's nothing paid in here,
2960.76s:  but I wanted to give people something you can follow along.
2965.56s:  So this is what I would do.
2966.80s:  If you know a couple of those strategies,
2969.60s:  so it looks like you're in here,
2971.72s:  this you can see what I like to do.
2975.28s:  So these are, this is the direction
2977.92s:  that I would go personally.
2980.48s:  But yeah, that's the short answer to that one.
2988.28s:  Oh, Rama says, how do you think about diversification?
2991.84s:  Yeah, that's a great question.
2993.44s:  So diversification is super important,
2995.36s:  but too much of it's also not good,
2997.24s:  which I think is kind of a slept on concept.
3002.96s:  The reason being is because there are people that I know
3007.68s:  and I've come across quite a lot of them
3010.96s:  that they'll have a bunch of positions on,
3014.60s:  but each position is worth 1% of the portfolio.
3018.36s:  So sure, they're hell of diversified.
3020.92s:  However, if you're too diversified,
3023.64s:  even if you get a nice big move in your favor,
3026.76s:  you don't make any money.
3028.04s:  So in my opinion, the concept of diversification
3032.72s:  really, really, really comes down to striking a balance,
3036.28s:  making sure that you have enough diversification
3039.52s:  to make sure that you align with your objectives,
3042.52s:  but you're not too diversified
3044.80s:  and you're not making any money if you're getting moves.
3047.80s:  So yeah.
3049.96s:  Ruta Begas says, since they did a case exponentially,
3053.96s:  should you just move your position further
3055.96s:  in every time it starts accelerating?
3061.96s:  So first, I take your question to mean
3064.96s:  under the assumption of your buying options
3067.96s:  and if you're buying options,
3070.96s:  you can institute kind of a structure
3073.96s:  so that when theta starts eating too much of your lunch,
3078.24s:  you move your options out.
3079.32s:  It's literally exactly what I did today in the 16 augs.
3083.32s:  I could have waited another few days
3084.96s:  like we're not within 30 days,
3086.64s:  which is my specific window
3088.60s:  where I really want to start doing something,
3091.64s:  but it lined up well with the price movement.
3097.20s:  So that's, it's not like a discreet, always do it,
3101.56s:  a set kind of way
3102.84s:  and it's because it's market dependent
3104.56s:  on what the market's doing, but yeah, absolutely.
3107.00s:  If you gain exposure in the 90 ADT, 70 DT,
3110.08s:  the 49, whatever you want,
3111.72s:  you could pick a time frame
3113.24s:  that as it starts getting closer to that,
3115.32s:  you want to get out.
3116.16s:  Now, again, there's a million ways to do this
3118.56s:  and I want to make sure that you guys understand
3120.40s:  that I'm talking to you from my perspective
3123.24s:  because there's also something to be said
3124.92s:  for coming within 30 days
3127.40s:  and you can still trade options in this time frame.
3130.56s:  I do periodically.
3132.64s:  It's just not my go to.
3134.44s:  So when I'm talking to you guys
3135.68s:  from like this broader sense of generalities,
3139.04s:  that's what I'm sharing.
3140.04s:  But there's absolutely nothing that's going to break you.
3143.36s:  If you come in here to a 14 day trade, 14 DTE,
3146.84s:  if you think your move is going to occur in 14 DTEs
3151.04s:  and you can go super deep in the money.
3154.36s:  You can buy these 87 Delta's
3157.12s:  or most of these are not super liquid.
3159.00s:  I don't love them.
3159.84s:  Maybe these 22 Delta, the 22 strike calls
3163.16s:  that are bid for 20 gigat,
3165.20s:  and they're offered at 465,
3167.52s:  but on these, you're literally just paying like 30 cents,
3171.08s:  35 cents.
3172.64s:  So you're not on a relative basis
3175.72s:  that's pretty high-fated a K for what's going to come out of them.
3179.24s:  But it's still as a gross dollar amount,
3181.68s:  that's not going to kill you.
3183.24s:  So that's why this game of picking strikes
3188.16s:  or selecting explorations is so cool
3192.48s:  is because you have the ability to really structure
3196.48s:  positions that align with what you're trying to do.
3201.28s:  So I just dropped another video in there
3205.88s:  about buying call options smarter.
3208.40s:  It uses GameStop as a reference,
3211.36s:  but it's not limited to GameStop.
3213.16s:  It's about kind of this process.
3214.48s:  How to strike a balance between DTEs, Delta's,
3218.76s:  because as we talked about before,
3220.12s:  we know that if you pick up a higher Delta,
3223.32s:  your option's going to be more expensive.
3224.92s:  So how do you figure out how high you want to go?
3230.40s:  The neat part about it is you literally
3232.72s:  can develop a pretty simple system that
3236.24s:  looks at what makes sense based on your objectives
3242.52s:  for the position.
3243.72s:  That's the way to think about it, at least I think.
3245.60s:  That's the way that I try to think about the decision.
3251.12s:  Ruta Vegas says since they did a case,
3254.20s:  oh, I already answered that one.
3255.40s:  That's cool.
3258.08s:  All right, cool.
3259.16s:  Oh yeah, Paul says do you build Delta neutral portfolios?
3262.00s:  Are you using some other portfolio strategy?
3263.68s:  No, I do not build Delta neutral portfolios.
3266.52s:  I think the concept of Delta neutral portfolios
3268.80s:  sounds so appealing because people get nervous about risk
3272.12s:  and they like the idea of being able to make money
3274.08s:  in all markets and shit like that.
3276.68s:  But the way I think about building
3279.26s:  like the portfolio disposition is 100% tied
3285.24s:  to what I think about the market.
3289.04s:  So I actually have, as you guess,
3293.24s:  I think I built a slide in here about it.
3297.12s:  Let's find that bad boy.
3299.28s:  Uh, nope, not that one.
3302.16s:  You like that pink though or that purple,
3304.12s:  whatever that color is?
3305.20s:  I think it's pretty legit.
3307.56s:  Yo, where is this here?
3310.76s:  And here.
3313.24s:  So when I look at the idea of setting up a portfolio,
3322.00s:  it's going to be aligned to this stuff.
3325.64s:  So what this means is, let's say for example,
3328.16s:  I think the market is going to go up.
3330.68s:  Why would I wanna have a Delta neutral portfolio
3333.72s:  if I think the market is going to go up?
3335.56s:  Well, the benefit to doing that is if if the market goes down,
3340.16s:  you can make some money on those other positions.
3343.24s:  But from my perspective, I would rather just
3346.24s:  adjust the portfolio as the market goes down and then switch.
3350.88s:  That's the cool part about being a retail trader
3354.08s:  is that I don't have a mandate.
3356.16s:  I don't have any rules placed on me
3358.88s:  on how much money I have to use at a specific point in time
3361.68s:  or what kind of draw down I can sustain
3363.40s:  or literally anything like that.
3365.52s:  I have complete autonomy over what I choose to do.
3369.24s:  So for example, T-Triple Cues,
3373.56s:  I literally had a full exit yesterday
3376.92s:  and I re-entered the majority of the position today.
3382.08s:  It's a complete pivot.
3383.80s:  And there's nothing that stops you from doing that
3387.88s:  as a retail trader.
3389.12s:  You just have to be careful not to go too far down that rabbit hole
3393.04s:  and whip sawing around.
3395.40s:  You lose a lot of money that way.
3396.60s:  So you don't want to do that.
3399.52s:  Rese says keeping a trade long a journal,
3402.60s:  what a difference can't follow a game plan that you don't have.
3406.04s:  Yeah, that's awesome.
3406.88s:  I'm really glad that you're doing that.
3408.32s:  In my opinion, that's probably one
3409.72s:  of the most transformational aspects of trading, literally,
3413.84s:  is that exact process.
3416.28s:  So I'm super, super stoked that you're doing that.
3422.60s:  All right, any other questions that we want to hit,
3425.72s:  Rolando says they sent you a question.
3427.44s:  It's above, I don't know where it is, man.
3432.64s:  Okay, see it.
3434.16s:  Another question, when is it best to roll options?
3438.00s:  Is it better to roll or selling them by another contract?
3441.08s:  I see.
3441.92s:  So I have a couple videos for you on that
3444.32s:  that you can take a look at.
3445.28s:  And funny enough, I have another video dropping tomorrow
3447.92s:  on rolling.
3449.24s:  So, and I think we actually talked about that.
3452.28s:  Why in depth during one of our recent live sessions?
3456.84s:  So that first one is about rolling kind of a broad concept.
3461.12s:  The second one is about a bunch of common myths about rolling.
3466.36s:  And then this third one is coming out tomorrow.
3468.88s:  So I don't think you'll be able to access it via that link
3471.92s:  because it's scheduled, but when it launches tomorrow,
3475.52s:  you'll be able to see it.
3476.68s:  And it's coming out at 0715 Pacific time.
3481.28s:  So, yeah, there's a couple of resources there for you.
3485.96s:  All right, let's talk about this idea of building strategies.
3488.96s:  When I think about the concept of building a trading strategy,
3492.68s:  and again, I'm not going to spend much time in this slide deck,
3495.52s:  I just want to show you a couple guiding concepts.
3497.60s:  And then really what I want to do for this section actually
3500.40s:  is look at your ideas and walk you through
3503.00s:  how I would think about building traits.
3504.80s:  That's the intention here.
3507.44s:  So when I think about the idea of building strategies,
3512.64s:  one of the most important concepts is maintaining some sort of edge.
3518.84s:  And there's different ways you can access edge,
3522.28s:  which I will give you some ideas, but I want to show you this.
3527.56s:  So this slide, let me see if I can large,
3533.20s:  make this a little bit larger so that the people in the back can see.
3539.40s:  Let me know if that's visible enough.
3541.76s:  If it's not, I honestly have no, nothing I can do to help you.
3545.92s:  So I will make a fake gesture as if I can do something about it, but I cannot.
3550.72s:  So if it's not visible, then I feel bad for you.
3556.00s:  Because otherwise you're not really going to be able to follow along
3558.40s:  at all with what I'm going to say.
3560.84s:  Hi, this is a overview of how I think about building a strategy.
3568.84s:  You can see that there are a few steps.
3572.12s:  These, this here is essentially the process that I would look to follow
3579.72s:  to kind of build a strategy and the way it would work.
3584.28s:  I don't know why that would be at that crazy of an angle.
3588.68s:  That's just silly to me.
3590.52s:  There we go.
3591.72s:  So the idea would be you would flow through this literally just like this.
3599.56s:  And what I try to think about is a process that's replicable over time.
3606.68s:  And it can deliver consistent results.
3610.20s:  Because that's going to be one of the largest aspects of building a successful trading strategy.
3617.32s:  Is finding a way to build ideas that you can then deploy and optimize over time.
3623.80s:  Because it's not that easy.
3626.36s:  And one of the biggest mistakes that you can make in doing this is to have this really
3630.52s:  haphazard bullshit approach that it doesn't allow you to actually test ideas.
3639.48s:  So let's talk about these kind of in a general sense.
3642.60s:  And then like I said, we'll literally dive directly into an example.
3646.60s:  The first thing I'm going to do is define the purpose of the strategy.
3649.96s:  So that's predicated on this.
3652.20s:  So if we go back to the way I think about really the world of trading,
3656.28s:  it's in this light up here.
3658.76s:  Notice how I take a very hierarchical top down approach to this whole thing.
3665.32s:  I'm looking at big picture items and then boiling them down to smaller things.
3671.56s:  So when I look at the portfolio, I split my portfolio into a core allocation and a speculative
3678.52s:  allocation. I now know that I need to have a couple ideas that can work in all of these.
3684.92s:  And I've already given you kind of the cheat sheet for the stuff that I do, which is this right here.
3691.32s:  This is essentially the comprehensive breakdown of the overwhelming number of trades that I put
3698.76s:  on at a given point in time. You literally can find them all here.
3703.56s:  And there's really what I consider to be a lot of beauty in simplicity in what I'm doing.
3713.72s:  So when I'm thinking about building strategies, I want stuff that is robust.
3723.72s:  And I want stuff that allows me to trade most market conditions.
3728.44s:  So the way to answer this first part, purpose of strategy for me, I would outline a strategy
3735.56s:  that allows me to trade every single market condition. That's the first thing I would be looking
3744.52s:  for. And I think I have a slide in here. Do I? I think I do. Yeah, this one.
3754.04s:  This shows you like exactly the stuff that I'm looking to trade. I'm looking to have things that
3762.20s:  allow me to trade directionally up and down. I'm looking to trade volatility and all of its
3769.08s:  individual little quirks, whether it's the clustering, the variance risk premiums, whether it's
3776.12s:  relative value plays, whether it's skew, there's a million things you can trade.
3781.72s:  So these are the broad buckets of what I'm looking to trade. So why does this matter? Why do I
3787.72s:  go through the effort of explaining this to you guys? Well, it's pretty simple.
3793.24s:  It's because I think one of the easiest things you can do to simplify this whole process for yourself,
3800.28s:  which is all the way back here is don't think about having to build a strategy and just build
3807.88s:  10 million of them. You can get to that point if you want. There's not to wrong with it if that's
3811.72s:  your approach. But I would literally start by just defining a you need a strategy to trade things
3817.80s:  that are going up. You probably want a strategy to trade things that are going down. If you want to
3822.84s:  trade both sides of direction, I do. Like those are completely reasonable places to start right there.
3828.76s:  You don't necessarily have to go further than that to start. It's totally up to you, but that's
3833.88s:  a reasonable starting point to take. So capital gains is this idea of making money as direction
3841.88s:  occurs. You can trade things for income. You can want to have a strategy to hedge a portfolio.
3847.72s:  You have to start with what you're trying to do. Then we need to isolate the profit mechanism.
3853.40s:  Simply put, this is how the trade supposedly makes money. So what you'll find is people all the time
3864.28s:  want to put on. They just what they say, like I want to trade something like I want to trade verticals
3871.16s:  or I want to trade calendars. And I'm always thinking like why? Who cares? Like you're just naming
3879.08s:  structures. What you need to do is think about what the thing is that you're trying to build.
3888.12s:  What are you trying to take advantage of? That is the entire purpose of this.
3896.04s:  Rama, hey, thank you so much, Rama. I really, really appreciate that.
3900.36s:  Rama says showing appreciation for me and objective, sharing learnings without pushing
3904.52s:  in gender, you are a true educator. I appreciate that very much. Thank you. That's literally
3909.24s:  that's the entire goal. And I'll happily take a second to give another shout out to this dude
3915.96s:  right there. That's the guy that essentially told me in high school that I should look into investing.
3923.88s:  And then I did. And key with that recommendation completely changed quite literally the entire
3931.96s:  trajectory of my life. That's why I do what I do now. Because this dude that's not part of my
3937.40s:  family that really has no other vested interest in me other than the fact that I was an ROTC with him,
3943.40s:  as you could tell by our cool uniforms here. For no other reason than that, he told me to go look
3950.52s:  into investing. He thinks he would be a good idea for me. He was showing me what's called a
3954.28s:  Goppe love. He was just trying to take care of me. So because of him, my life went down a very
3960.28s:  different path. And it's literally why I do this stuff right now on a Friday evening with you guys
3966.52s:  is because one, I love teaching. But two, I think it's so important to share those kinds of gifts with
3972.28s:  other people. So always shout out to Colonel. All right, back to this though.
3978.44s:  Profit mechanism is how something makes money. How can you find a profit mechanism? How can you
3984.12s:  determine what makes sense? Easy. It is easy. You can look for things and trends around price
3991.64s:  direction up or down. You can look for things relative to volatility. How does it behave? What does it
3997.08s:  do? What are some of its traits? You can look for market inefficiencies. There are a lot of ideas.
4004.92s:  You can literally start by jotting down a bunch of ideas.
4012.36s:  Another idea is to go onto a website like SSRN, which is this.
4021.96s:  And you can type in different things. This is the social science research network. It gives you
4034.36s:  access to tons of peer reviewed papers. That's where the majority of these are from.
4040.84s:  But what I'm showing you in this are all different kinds of profit mechanisms that I literally come
4047.72s:  across from different studies. All different kinds of ideas. So what I'm doing is I'm looking at
4054.60s:  academic information and studies. And I'm using it as inspiration. It's important to know that when
4062.36s:  you use academic research, it is not as simple as they say there's post earnings announcement drift,
4070.68s:  I trade post earnings announcement drift because academic research has a lot of nuances to it.
4079.64s:  And it's not perfect. So you still have to be a thinking human being and interpret that market
4087.00s:  research or whatever paper you're reading or whatever else and still test it. But notice how I
4094.84s:  said it gives me inspiration. It gives me ideas. We are officially out of strawberry watermelon,
4102.84s:  but that's okay. We have our backup of regular watermelon. Love us a good filter water.
4113.00s:  Oh, that one's so much better. So much better.
4117.72s:  Teacher says quant pdia is pretty good as well. Yeah, that's actually a great, great, great
4125.40s:  add in. I do not use it a ton myself because the way that this looks at things is slightly different.
4136.12s:  But it is absolutely still worth checking out. I'm thankful of teaching that you brought this one up.
4142.76s:  Good call. There's quant pdia. All right. So strategy, what's the purpose? What are we trying to do with
4151.96s:  this individual strategy that we're looking to build? Then we need to determine from that
4159.80s:  what kind of profit mechanism are we trying to take advantage of? So again, I give you several ideas
4169.88s:  right here. From there, Reese says, do you have the link to retail trading habits pitfalls? Yeah,
4178.44s:  that's on my website. So on my website, good old fashion, esinvest.com, if you go here and to here,
4191.48s:  all of those studies are available here. So you can literally just drop those in and I cite kind
4197.40s:  of the key takeaways from all of them. Why do I have this here? Because I think it's freaking important
4203.08s:  for people to know what the landscape looks like. So Reese, yes, you can access it there.
4211.88s:  So we now know that we need a specific profit mechanism and again, I give you multiple ideas to
4218.92s:  determine what that could look like. From there, this is this is the important step. We should outline
4227.16s:  a list of perspective strategies that allow us to take advantage of the profit mechanism that
4237.64s:  you are interested in. That is the entire point of that step. So what that means in a practical
4245.48s:  sense is, for example, Jay says, damn, without couch potato buying you dinner, are you going to,
4253.96s:  are you going hungry tonight? Yeah, I know, man, I'm like, shit, I'm supposed to order Greek and
4259.48s:  I'm about to be on the hook for it. We might starve. I'll be honest, maybe doing a little bit of a
4264.36s:  fast isn't the worst thing ever. I'm still pretty fat. So I could stand to lose a few more pounds and
4269.88s:  maybe just do some salsa water. Maybe that's the future for me here.
4273.96s:  The structure list is where you just jot down different structures that allow you to take
4284.52s:  advantage of whatever it is that you're trying to trade. So for example, if I'm trying to trade
4290.60s:  things to the upside, can you guys come up with some ideas? What structures or what things could I do
4297.40s:  that allow me to trade to the upside? You guys have any ideas. Throw them in the chat as many as you
4303.32s:  want. Calls puts, yep, chewies on it so far. What else can we do? That's two.
4314.60s:  Diagon calls, sure, can do that by shares. Roy and Tiddy, love me some Roy and Tiddy, by shares.
4320.12s:  That's perfect. Yeah. Those were all fine. You can do other stuff on top of those, but it starts
4326.84s:  to get more complex. And I'm actually really, really, really glad. You guys started with that
4332.76s:  approach. And it's because one of my biggest recommendations is when you're going through this
4338.52s:  process is to start as simple as possible. And the reason being is because it gives you the
4348.28s:  purest sense of what works. And it really decreases the propensity to start overfitting things
4357.72s:  grossly. So this link here is how to create a consistently profitable option strategy. It goes
4366.12s:  through what we're talking about now, very specifically and in depth, but you guys did the exact
4370.60s:  right thing there. So the structure list is literally just that. I'm not worried about what I like.
4376.20s:  I'm not worried about what I think might work best. I'm literally writing down what I think
4381.08s:  can work. That's it. From there, I'm going to test all of them. Now, before I test all of them,
4390.76s:  I can naturally exclude some of the strategies. If forward ever reason for a broader structural
4398.76s:  reason, it doesn't fit what I'm trying to do. So for example, let's say I already have a long
4407.08s:  option strategy that I like to trade to the upside. If I like it, I already tested it.
4414.52s:  There's not an inherent need for me to duplicate having another long option strategy to trade to
